"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C73,C72";"C_0402_5MIL_DWS";2;"NA(27pF/50V/5%/C0G/C0402)";;;
2;"FET7,FET8,FET4,FET3,FET6,FET5";"SOT23";6;"BSS138(SOT-23)";;;
3;"+5V1,DC_VIN1,GND1,+5V_POE1,VBAT1,+5V_EXT1,+5V_USB1,3.3V1,VO4,GND2,CORE1,VO2,VO3,VO1";"TESTPAD_40-ROUND";14;"TESTPAD";;;
4;"R86,R64,R85,R48,R83,R70,R42,R43,R67,R27,R55,R66,R102,R68,R54,R41,R3";"R_0402_5MIL_DWS";17;"10k/R0402";;;
5;"USB-Serial/JTAG1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";1;"USB-C-16P-F(A40-00119-A52-12)";;;
6;"MIPI-CSI1,MIPI-DSI1";"TE_1-1734248-5";2;"FPA-VZA2-15-LF";;;
7;"HDMI1";"HDMI-SWM-19_Paste";1;"HDMI-SWM-19";;;
8;"USER_LED1,LED_LINK1,LED_HOST3,LED_HOST4,LED_HOST2,LED_HOST1";"LED_0603_KA";6;"LED/GREEN/0603";;;
9;"C28,C27";"C_0402_5MIL_DWS";2;"150pF/50V/2%/NP0/C0402";;;
10;"C38,C107,C106,C105,C95,C30,C21,C19,C7,C52,C91,C109,C112,C108,C111,C69,C4,C121,C96,C40,C53,C87,C51,C85,C46,C5,C23,C119,C42,C131,C57,C11,C49,C43,C12,C47,C32,C9,C101,C128,C94,C115,C120,C54,C31,C71";"C_0402_5MIL_DWS";46;"100nF/10V/20%/X5R/C0402";;;
11;"C114,C113,C25,C80,C81,C79,C24";"C_0402_5MIL_DWS";7;"27pF/50V/5%/C0G/C0402";;;
12;"BOOT1,RST1";"YTS-A016-X";2;"YTS-A016-X";;;
13;"R21,R12,R69,R11,R7,R10,R33,R49,R22,R37";"R_0402_5MIL_DWS";10;"4.7k/R0402";;;
14;"R74,R84,R73,R88,R8,R72,R9,R91,R4,R39,R61,R82,R93,R92,R62,R56,R57,R80";"R_0402_5MIL_DWS";18;"2.2k/R0402";;;
15;"R94,R90,R96";"R_0402_5MIL_DWS";3;"470k/R0402";;;
16;"R26,R15,R16,R14,R25,R38";"R_0402_5MIL_DWS";6;"22R/R0402";;;
17;"L4,L3";"L_2016_MM";2;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
18;"C14,C65,C74,C129,C133,C134,C136,C118,C132,C93,C130,C92";"C_0805_5MIL_DWS";12;"47uF/6.3V/20%/X5R/C0805";;;
19;"C35,C102,C103,C123,C63,C75,C37,C124,C66";"C_0603_5MIL_DWS";9;"22uF/6.3V/20%/X5R/C0603";;;
20;"Q6,Q2";"TSX-3.2x2.5mm_GND(3)";2;"Q25MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-25.000MHZ-D2Y-T)";;;
21;"Q3";"TSX-3.2x2.5mm_GND(3)";1;"Q40.000MHz/12pF/10ppm/4P/3.2x2.5x0.70mm(Harmony_Electronics_CORP./HSX321S)";;;
22;"R87";"R_0402_5MIL_DWS";1;"1M/R0402";;;
23;"C1,C45,C2,C44";"C_0402_5MIL_DWS";4;"22pF/50V/5%/C0G/C0402";;;
24;"LED_ACT1,CHARGE1";"LED_0603_KA";2;"LED/Yellow/0603";;;
25;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
26;"Q1";"CM7V-T1A(Crystal_Package-1206_3.20x1.50x0.65mm)";1;"Q32.768kHz/12.5pF/2P/SMD1206";;;
27;"U1";"QFN104_10mm×10mm_Pitch_0.35mm";1;"ESP32-P4NRWxx(QFN104)";;;
28;"R46,R47";"R_0402_5MIL_DWS";2;"10.5k/1%/R0402";;;
29;"U9,U10,U11";"SLP2510P8_TEST";3;"NA(RCLAMP0524P(SLP2510P8))";;;
30;"C29,C6,C18,C67,C82,C99,C3,C56,C22,C68,C20,C50,C70,C76,C41";"C_0402_5MIL_DWS";15;"10uF/6.3V/20%/X5R/C0402";;;
31;"C16,C15";"C_0603_5MIL_DWS";2;"100nF/50V/20%/Y5V/C0603";;;
32;"U7";"SSOP28_10x4mm_Pitch_0.64mm";1;"FE1.1s(SSOP-28)";;;
33;"R63,R32,R19,R81";"R_0402_5MIL_DWS";4;"NA/R0402";;;
34;"USB_HOST3-4,USB_HOST1-2";"USB_TWO_LEVEL";2;"USBB1-FRWH-4A(USB-Ax2)";;;
35;"BAT1";"PH2.0-2AT(BAT)";1;"PH2.0-2AT";;;
36;"R76";"R_0402_5MIL_DWS";1;"6.04k/1%/R0402";;;
37;"FID2,FID4,FID6,FID8";"Fiducial1x3_Paste";4;"Fiducial";;;
38;"U3";"SO-8_208mil";1;"W25Q128JVSIQ(16MB)";;;
39;"PWR1,ACT/SUS1";"LED_0603_KA";2;"LED/RED/0603";;;
40;"U5,U4";"SOT-563-6";2;"TPS62A02ADRLR(SOT-563-6)";;;
41;"U12";"QFN64_7.5x7.5mm_Pitch_0.4mm";1;"LT8912B(QFN64)";;;
42;"R36";"R_0402_5MIL_DWS";1;"220k/R0402";;;
43;"LAN1";"RJP-003TC1(LPJ4112CNL)";1;"RJP-003TC1(LPJ4112CNL)";;;
44;"R65,R75,R71";"R_0402_5MIL_DWS";3;"100k/R0402";;;
45;"Q4";"TSX-3.2x2.5mm_GND(3)";1;"Q12MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-12.000MHZ-D2Y-T)";;;
46;"MICRO_SD1";"TFC-WPAPR-08";1;"TFC-WPAPR-08-LF";;;
47;"L1,L7,L8,L2,L5,L6";"L_0805_5MIL_DWS";6;"600OHM/2A/UPZ2012E-601-2R0TF/0805";;;
48;"HEADSETS1";"PJ-320D";1;"PJ-320D";;;
49;"C117";"CPOL-RM3.5mm_8.0x11.5mm_PTH";1;"1000uF/10V/20%";;;
50;"POE_PWR1";"PH2.0-4PLB";1;"PH2.0-4AT";;;
51;"C62,C59";"C_0402_5MIL_DWS";2;"NA(120pF/50V/5%/C0G/C0402)";;;
52;"EXT1";"HN2x10";1;"NA(HN2x10)";;;
53;"C60,C33";"C_0402_5MIL_DWS";2;"NA(100nF/10V/20%/X5R/C0402)";;;
54;"MH1,MH2,MH3";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";3;"Mounting_Hole_NPTH";;;
55;"FID3,FID1,FID7,FID5";"Fiducial1x3";4;"Fiducial";;;
56;"R13";"R_0402_5MIL_DWS";1;"10M/R0402";;;
57;"DCDC_Vin1";"SJ_2_SMALL_12_TIED";1;"Closed(1-2)";;;
58;"C110";"C_0402_5MIL_DWS";1;"2.2nF/50V/10%/X7R/C0402";;;
59;"PWR_SENS_E1,BAT_SENS_E1,BAT_SENS_E2";"SJ_1_SMALLER";3;"Opened";;;
60;"C61,C36,C88,C48,C97,C84,C55,C58,C98,C39,C86,C100,C10,C126,C104,C8";"C_0402_5MIL_DWS";16;"1uF/6.3V/10%/X5R/C0402";;;
61;"R5,R6";"R_0402_5MIL_DWS";2;"5.1k/1%/R0402";;;
62;"R103,R89";"R_0402_5MIL_DWS";2;"6.81k/1%/R0402";;;
63;"C125,C135,C90,C89,C127,C116";"C_0805_5MIL_DWS";6;"NA(47uF/6.3V/20%/X5R/C0805)";;;
64;"R2,R1";"R_0402_5MIL_DWS";2;"4.02k/1%/R0402";;;
65;"U15";"SOT-23-5";1;"TP4054-42-SOT25-R(SOT23-5)";;;
66;"C122,C34,C64";"C_0603_5MIL_DWS";3;"NA(22uF/6.3V/20%/X5R/C0603)";;;
67;"R50";"R_0402_5MIL_DWS";1;"110R/1%/R0402";;;
68;"R35,R34";"R_0402_5MIL_DWS";2;"1.5k/R0402";;;
69;"R78";"R_0402_5MIL_DWS";1;"NA(200R/R0402)";;;
70;"L9";"L_0805_5MIL_DWS";1;"NA(600OHM/2A/UPZ2012E-601-2R0TF/0805)";;;
71;"R29,R30";"R_0402_5MIL_DWS";2;"NA(2.2k/R0402)";;;
72;"L11";"CD42(43)";1;"4.7uH/2.33A/DCR=70mR/20%/CD43(NRS4018T4R7MDGJ)";;;
73;"D4";"SMA-KA";1;"1N5822/SS34/SMA";;;
74;"R17";"R_0402_5MIL_DWS";1;"6.19k/1%/R0402";;;
75;"R77";"R_0402_5MIL_DWS";1;"10R/R0402";;;
76;"R52";"R_0402_5MIL_DWS";1;"240R/1%/R0402";;;
77;"R53";"R_0402_5MIL_DWS";1;"2.7k/1%/R0402";;;
78;"C26,C83";"C_0402_5MIL_DWS";2;"NA(10uF/6.3V/20%/X5R/C0402)";;;
79;"D2,D3";"SOD-123_1C-2A_KA";2;"1N5819S4(SOD123)";;;
80;"Q5";"SOT23";1;"BC817-40";;;
81;"VR2";"SOT-23-5";1;"AP1231-3.3V(SOT23-5)";;;
82;"R24,R105";"R_0402_5MIL_DWS";2;"24.9k/1%/R0402";;;
83;"R28,R18";"R_0402_5MIL_DWS";2;"NA(10k/R0402)";;;
84;"R95";"R_0402_5MIL_DWS";1;"8.25k/1%/R0402";;;
85;"VR1";"SOT223";1;"LD1117AG-AD-AA3-A-R";;;
86;"C77,C78";"C_0402_5MIL_DWS";2;"20pF/50V/5%/NP0/C0402";;;
87;"R45";"R_0402_5MIL_DWS";1;"6.49k/1%/R0402";;;
88;"R51";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
89;"R59,R58,R60";"R_0402_5MIL_DWS";3;"33R/R0402";;;
90;"U6";"SOT23-6";1;"CH217K(SOT23-6L)";;;
