# build=uart-path-benchmark-r03-b2026-09-10-18-21-38Z;status=draft
# emos=agon-emos-v0.1.12-b2026-09-10-03-50-35Z;edp=uart-excom-console-r07-b2026-09-10-06-31-58Z;mainboard_vdp=2.16.0
# mode=suite;baud=1152000;clock_units_per_second=120;clock_resolution_units=2
# browser=one_visible_connected_client_operator_required;entries_include_caller_cost
# completion_deadline_ticks=600;max_wait_calls=24;probe_retains_first_timeout=1
row,repeat,route,entry,payload,chunks,bytes,t0,t1,t2,send_ticks,tail_ticks,total_ticks,send_status,reply_status,pixel_r,pixel_g,pixel_b,pixel_index,mode,width,height,colours,valid,setup_first_status,setup_reply_ticks,first_reply_status,reply_wait_ticks
1,1,legacy,byte,null,512,32768,82,116,116,34,0,34,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
2,1,legacy,byte,points,512,32768,120,156,156,36,0,36,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
3,1,legacy,count,null,512,32768,160,194,194,34,0,34,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
4,1,legacy,count,points,512,32768,198,232,232,34,0,34,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
5,1,legacy,delimiter,null,512,32768,238,272,272,34,0,34,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
6,1,legacy,delimiter,points,512,32768,278,314,314,36,0,36,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
7,1,legacy,cli-putch,null,512,32768,318,2220,2220,1902,0,1902,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
8,1,legacy,cli-putch,points,512,32768,2224,4324,4324,2100,0,2100,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
9,1,excom,byte,null,512,32768,4332,4574,4576,242,2,244,0,0,0,0,0,0,0,640,480,16,1,0,0,0,2
10,1,excom,byte,points,512,32768,4582,4824,4824,242,0,242,0,0,255,255,255,15,0,640,480,16,1,0,2,0,0
11,1,excom,count,null,512,32768,4830,4956,4956,126,0,126,0,0,0,0,0,0,0,640,480,16,1,0,2,0,0
12,1,excom,count,points,512,32768,4962,5088,5088,126,0,126,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
13,1,excom,delimiter,null,512,32768,5094,5334,5334,240,0,240,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
14,1,excom,delimiter,points,512,32768,5340,5580,5580,240,0,240,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
15,1,excom,cli-putch,null,512,32768,5586,7698,7698,2112,0,2112,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
16,1,excom,cli-putch,points,512,32768,7704,10014,10014,2310,0,2310,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
17,2,legacy,byte,null,512,32768,10020,10056,10056,36,0,36,0,0,0,0,0,0,0,640,480,16,1,0,0,0,0
18,2,legacy,byte,points,512,32768,10060,10096,10096,36,0,36,0,0,255,255,255,15,0,640,480,16,1,0,0,0,0
