# build=uart-path-benchmark-r03-b2026-09-10-18-21-38Z;status=draft
# emos=agon-emos-v0.1.12-b2026-09-10-03-50-35Z;edp=uart-excom-console-r07-b2026-09-10-06-31-58Z;mainboard_vdp=2.16.0
# mode=suite;baud=1152000;clock_units_per_second=120;clock_resolution_units=2
# browser=one_visible_connected_client_operator_required;entries_include_caller_cost
# completion_deadline_ticks=600;max_wait_calls=24;probe_retains_first_timeout=1
row,repeat,route,entry,payload,chunks,bytes,t0,t1,t2,send_ticks,tail_ticks,total_ticks,send_status,reply_status,pixel_r,pixel_g,pixel_b,pixel_index,mode,width,height,colours,valid,setup_first_status,setup_reply_ticks,first_reply_status,reply_wait_ticks
1,1,legacy,byte,null,512,32768,1182,1332,1332,150,0,150,0,0,0,0,0,0,0,640,480,16,1,0,4,0,0
2,1,legacy,byte,points,512,32768,1350,1472,1474,122,2,124,0,0,255,255,255,15,0,640,480,16,1,0,8,0,2
3,1,legacy,count,null,512,32768,1486,1634,1636,148,2,150,0,0,0,0,0,0,0,640,480,16,1,0,2,0,2
4,1,legacy,count,points,512,32768,1646,1770,1770,124,0,124,0,0,255,255,255,15,0,640,480,16,1,0,2,0,0
5,1,legacy,delimiter,null,512,32768,1788,1936,1938,148,2,150,0,0,0,0,0,0,0,640,480,16,1,0,6,0,2
6,1,legacy,delimiter,points,512,32768,1954,2078,2078,124,0,124,0,0,255,255,255,15,0,640,480,16,1,0,6,0,0
7,1,legacy,cli-putch,null,512,32768,2090,4032,4032,1942,0,1942,0,0,0,0,0,0,0,640,480,16,1,0,4,0,0
8,1,legacy,cli-putch,points,512,32768,4044,6188,6188,2144,0,2144,0,0,255,255,255,15,0,640,480,16,1,0,2,0,0
9,1,excom,byte,null,512,32768,6284,6722,6786,438,64,502,0,0,0,0,0,0,0,640,480,16,1,15,82,15,64
10,1,excom,byte,points,512,32768,6878,7432,7516,554,84,638,0,0,255,255,255,15,0,640,480,16,1,15,82,15,84
11,1,excom,count,null,512,32768,7606,8110,8194,504,84,588,0,0,0,0,0,0,0,640,480,16,1,15,64,15,84
12,1,excom,count,points,512,32768,8284,8830,8916,546,86,632,0,0,255,255,255,15,0,640,480,16,1,15,66,15,86
13,1,excom,delimiter,null,512,32768,9004,9478,9524,474,46,520,0,0,0,0,0,0,0,640,480,16,1,15,66,15,46
14,1,excom,delimiter,points,512,32768,9610,10156,10244,546,88,634,0,0,255,255,255,15,0,640,480,16,1,15,64,15,88
15,1,excom,cli-putch,null,512,32768,10336,12492,12502,2156,10,2166,0,0,0,0,0,0,0,640,480,16,1,15,82,0,10
16,1,excom,cli-putch,points,512,32768,12610,14968,14980,2358,12,2370,0,0,255,255,255,15,0,640,480,16,1,15,82,0,12
