# build=uart-path-benchmark-r03-b2026-09-10-18-21-38Z;status=draft
# emos=agon-emos-v0.1.12-b2026-09-10-03-50-35Z;edp=uart-excom-console-r07-b2026-09-10-06-31-58Z;mainboard_vdp=2.16.0
# mode=suite;baud=1152000;clock_units_per_second=120;clock_resolution_units=2
# browser=one_visible_connected_client_operator_required;entries_include_caller_cost
# completion_deadline_ticks=600;max_wait_calls=24;probe_retains_first_timeout=1
row,repeat,route,entry,payload,chunks,bytes,t0,t1,t2,send_ticks,tail_ticks,total_ticks,send_status,reply_status,pixel_r,pixel_g,pixel_b,pixel_index,mode,width,height,colours,valid,setup_first_status,setup_reply_ticks,first_reply_status,reply_wait_ticks
1,1,legacy,byte,null,512,32768,1202,1350,1352,148,2,150,0,0,0,0,0,0,0,640,480,16,1,0,2,0,2
2,1,legacy,byte,points,512,32768,1366,1488,1488,122,0,122,0,0,255,255,255,15,0,640,480,16,1,0,4,0,0
3,1,legacy,count,null,512,32768,1502,1650,1652,148,2,150,0,0,0,0,0,0,0,640,480,16,1,0,4,0,2
4,1,legacy,count,points,512,32768,1664,1786,1788,122,2,124,0,0,255,255,255,15,0,640,480,16,1,0,2,0,2
5,1,legacy,delimiter,null,512,32768,1804,1952,1952,148,0,148,0,0,0,0,0,0,0,640,480,16,1,0,8,0,0
6,1,legacy,delimiter,points,512,32768,1968,2090,2092,122,2,124,0,0,255,255,255,15,0,640,480,16,1,0,4,0,2
7,1,legacy,cli-putch,null,512,32768,2104,4046,4046,1942,0,1942,0,0,0,0,0,0,0,640,480,16,1,0,2,0,0
8,1,legacy,cli-putch,points,512,32768,4058,6202,6202,2144,0,2144,0,0,255,255,255,15,0,640,480,16,1,0,2,0,0
9,1,excom,byte,null,512,32768,6282,6642,6682,360,40,400,0,0,0,0,0,0,0,640,480,16,1,15,66,15,40
10,1,excom,byte,points,512,32768,6768,7044,7052,276,8,284,0,0,255,255,255,15,0,640,480,16,1,15,66,0,8
