symbol,address_hex,code_bytes
_emos_cmd,0x004821,3580
_displayDirectory,0x00c659,3246
_emos_discover,0x002dea,2588
_f_open,0x0138a6,2586
_resolvePath,0x00fa94,2507
_mount_volume,0x012f16,2448
_npf_vpprintf,0x01b543,2185
_f_printf,0x01963f,1958
_mos_EDITLINE,0x00e80b,1870
_follow_path,0x0142c0,1791
_emos_invoke,0x003e03,1379
_getLengthForResolvedPath,0x00f54c,1352
_dir_register,0x0149bf,1351
_mos_exec,0x00914b,1300
_f_getcwd,0x01645f,1216
_f_mkdir,0x0185b2,1157
_gsRead,0x01136e,1150
_mos_REN,0x00ab11,1125
_f_write,0x015748,1111
_emos_gateway,0x003890,1077
_f_rename,0x018b8b,1019
_f_lseek,0x017435,991
_umm_multi_realloc,0x01acd0,952
_qsort,0x01c387,920
_emos_validate_header,0x0056d7,891
_get_fileinfo,0x0170c5,880
_f_read,0x015371,866
_create_chain,0x015b9f,862
_substituteArgs,0x011eff,826
_dir_find,0x019fc2,816
_f_unlink,0x0181e2,789
_emos_uart_flow,0x007b3b,785
_mos_cmdOBEY,0x00a1e1,776
_mos_DIRFallback,0x00c369,752
_dir_read,0x016b5a,736
_put_fat,0x01a2f2,735
_emos_parallel_engine_write,0x0074a4,715
_text_exchange,0x008507,702
_mos_COPY,0x00afe4,692
_strtol,0x01c832,690
_f_getfree,0x017dfb,657
_emos_keyboard_select,0x006660,655
_dir_next,0x016e3a,651
_umm_malloc_core,0x01aa4a,646
_get_fat,0x0150ed,644
_mos_cmdDEL,0x00a628,642
_pattern_match,0x017aca,626
_insertString,0x00e201,623
_emos_sdlink_gateway,0x0078e2,601
_mos_cmdHELP,0x00beae,589
_f_setlabel,0x019124,587
_emos_general_poll,0x0081bf,574
_dir_sdi,0x01691f,571
_emos_request_mode,0x00458b,558
_extractNumber,0x011873,548
_mos_cmdHOTKEY,0x009b33,533
_setVarVal,0x010be0,530
_getDirectoryForPath,0x00f313,524
_emos_uart_probe,0x007f4f,519
_check_fs,0x019de5,477
_emos_console_packet,0x005c3e,473
_resolveRelativePath,0x01045f,450
_sync_fs,0x0160d9,450
_main,0x0028ba,422
_mos_runOrLoadFile,0x008eca,416
_f_getlabel,0x018f86,414
_emos_keyboard_text,0x006aec,409
_printCommandInfo,0x00bd17,407
_readVarVal,0x010f56,389
_mos_setupSystemVariables,0x00df32,388
_f_opendir,0x017814,387
_countDirEntries,0x00c1bd,364
_mos_TYPE,0x00bb47,355
_pmatch,0x012584,355
_expandVariable,0x0110db,351
_ff_wtoupper,0x01a6e7,349
_emos_preserve_module_area,0x005ae2,348
_extractString,0x011b8a,344
_f_truncate,0x01808c,342
_writeDate,0x00dbc2,342
_dir_clear,0x018a37,340
_mos_DIR,0x009768,336
_f_chdir,0x016310,335
_mos_cmdTIME,0x00b798,330
_escapeString,0x011ce2,327
_remove_chain,0x014f06,325
_mos_cmdIF,0x009dbb,324
_handleHotkey,0x00e5fe,317
_emos_dispatch_command,0x004366,312
_emos_keyboard_layout,0x0069bb,305
_mos_cmdIFTHERE,0x009eff,305
_emos_parallel_epoch_enter,0x006ec0,301
_mos_I2C_READ,0x008992,301
