symbol,address_hex,code_bytes
_emos_cmd,0x003513,3925
_displayDirectory,0x00aea9,3246
_f_open,0x0120e1,2586
_resolvePath,0x00e2cf,2507
_mount_volume,0x011751,2448
_npf_vpprintf,0x019d7e,2185
_f_printf,0x017e7a,1958
_mos_EDITLINE,0x00d046,1870
_follow_path,0x012afb,1791
_getLengthForResolvedPath,0x00dd87,1352
_dir_register,0x0131fa,1351
_mos_exec,0x0079c7,1256
_f_getcwd,0x014c9a,1216
_f_mkdir,0x016ded,1157
_gsRead,0x00fba9,1150
_mos_REN,0x009361,1125
_f_write,0x013f83,1111
_f_rename,0x0173c6,1019
_f_lseek,0x015c70,991
_umm_multi_realloc,0x01950b,952
_qsort,0x01abc2,920
_emos_gateway,0x002dc8,895
_get_fileinfo,0x015900,880
_f_read,0x013bac,866
_create_chain,0x0143da,862
_substituteArgs,0x01073a,826
_dir_find,0x0187fd,816
_f_unlink,0x016a1d,789
_emos_uart_flow,0x0063b7,785
_mos_cmdOBEY,0x008a31,776
_mos_DIRFallback,0x00abb9,752
_dir_read,0x015395,736
_put_fat,0x018b2d,735
_emos_parallel_engine_write,0x005d20,715
_text_exchange,0x006d83,702
_mos_COPY,0x009834,692
_strtol,0x01b06d,690
_f_getfree,0x016636,657
_emos_keyboard_select,0x004edc,655
_dir_next,0x015675,651
_umm_malloc_core,0x019285,646
_get_fat,0x013928,644
_mos_cmdDEL,0x008e78,642
_pattern_match,0x016305,626
_insertString,0x00ca3c,623
_emos_sdlink_gateway,0x00615e,601
_mos_cmdHELP,0x00a6fe,589
_f_setlabel,0x01795f,587
_emos_general_poll,0x006a3b,574
_dir_sdi,0x01515a,571
_emos_request_mode,0x00327d,558
_extractNumber,0x0100ae,548
_mos_cmdHOTKEY,0x008383,533
_setVarVal,0x00f41b,530
_getDirectoryForPath,0x00db4e,524
_emos_uart_probe,0x0067cb,519
_check_fs,0x018620,477
_emos_console_packet,0x0044ba,473
_resolveRelativePath,0x00ec9a,450
_sync_fs,0x014914,450
_main,0x0028ba,422
_mos_runOrLoadFile,0x007746,416
_f_getlabel,0x0177c1,414
_emos_keyboard_text,0x005368,409
_printCommandInfo,0x00a567,407
_readVarVal,0x00f791,389
_f_opendir,0x01604f,387
_mos_setupSystemVariables,0x00c782,367
_countDirEntries,0x00aa0d,364
_mos_TYPE,0x00a397,355
_pmatch,0x010dbf,355
_expandVariable,0x00f916,351
_ff_wtoupper,0x018f22,349
_extractString,0x0103c5,344
_f_truncate,0x0168c7,342
_writeDate,0x00c412,342
_dir_clear,0x017272,340
_mos_DIR,0x007fb8,336
_f_chdir,0x014b4b,335
_mos_cmdTIME,0x009fe8,330
_escapeString,0x01051d,327
_remove_chain,0x013741,325
_mos_cmdIF,0x00860b,324
_handleHotkey,0x00ce39,317
_emos_keyboard_layout,0x005237,305
_mos_cmdIFTHERE,0x00874f,305
_emos_parallel_epoch_enter,0x00573c,301
_mos_I2C_READ,0x00720e,301
_f_sync,0x0147ed,295
_mos_I2C_WRITE,0x0070ee,288
_mos_cmdMEM,0x00a20b,286
_umm_heap_stats,0x019c3e,277
_mos_cmdVDU,0x009ed4,276
_mos_cmdPRINTF,0x00822d,275
_copyFile,0x00ef7d,271
_wait_ESP32,0x00264b,266
_mos_cmdSHOW,0x009d6e,260
_mos_EXEC,0x00892f,258
_umm_free_core,0x019165,255
