object,rom,ram,text,rodata,data,bss,vectors
obj/src_fatfs/ff.o,30862,6,30639,223,0,6,0
obj/src/mos.o,30320,2289,21942,7744,634,1655,0
obj/src/emos.o,6901,12,5977,924,0,12,0
obj/src/mos_sysvars.o,6791,6,6745,46,0,6,0
obj/src/mos_file.o,5856,0,5776,80,0,0,0
obj/src/mos_editor.o,4589,48,4363,226,0,48,0
obj/src_umm_malloc/umm_malloc.o,3284,8,3284,0,0,8,0
obj/src/emos_uart_probe.o,3217,0,2195,1022,0,0,0
obj/asm/src/mos_api.o,2761,0,2761,0,0,0,0
obj/src/emos_keyboard.o,2760,290,2760,0,0,290,0
runtime/build/libmos_runtime.a(firmware_printf.o),2637,0,2583,54,0,0,0
obj/src/emos_console.o,1928,39,1834,94,0,39,0
obj/src/emos_uart_flow.o,1731,10,1044,687,0,10,0
obj/src_fatfs/ffunicode.o,1596,0,627,969,0,0,0
obj/src/emos_parallel_engine.o,1398,0,1398,0,0,0,0
obj/src/emos_parallel.o,1268,40,1256,12,0,40,0
obj/main.o,1182,0,1045,137,0,0,0
obj/src/clock.o,1161,114,769,278,114,0,0
obj/src/uart.o,1092,2,1092,0,0,2,0
obj/src/strings.o,1085,0,1085,0,0,0,0
obj/asm/src/keyboard.o,1071,0,1071,0,0,0,0
runtime/build/libmos_runtime.a(qsort.o),920,0,920,0,0,0,0
obj/asm/src/sd.o,849,6,849,0,0,6,0
obj/src/i2c.o,733,0,733,0,0,0,0
obj/asm/src/emos_keyboard_io.o,716,0,716,0,0,0,0
runtime/build/libmos_runtime.a(strtol.o),690,0,690,0,0,0,0
obj/src/emos_sdlink.o,685,486,685,0,0,486,0
obj/asm/src/vdp_protocol.o,591,0,591,0,0,0,0
obj/src_fatfs/diskio.o,580,3,580,0,0,3,0
obj/asm/src_startup/vectors16.o,550,192,262,0,0,0,480
obj/asm/src/crash.o,549,0,549,0,0,0,0
obj/asm/src/serial.o,501,0,501,0,0,0,0
obj/asm/src/emos_parallel_io.o,393,0,393,0,0,0,0
obj/asm/src/interrupts.o,391,0,391,0,0,0,0
obj/asm/src/gpio.o,359,0,359,0,0,0,0
obj/asm/src_startup/init_params_f92.o,303,0,303,0,0,0,0
obj/asm/src/spi.o,270,0,270,0,0,0,0
obj/asm/src/misc.o,241,0,241,0,0,0,0
obj/src/timer.o,179,0,179,0,0,0,0
runtime/build/libmos_runtime.a(lmulu.o),92,0,92,0,0,0,0
runtime/build/libmos_runtime.a(llmulu.o),85,0,85,0,0,0,0
obj/hostfs_descriptor.o,79,0,0,0,0,0,79
obj/asm/src_startup/cstartup.o,78,0,78,0,0,0,0
runtime/build/libmos_runtime.a(strncpy.o),70,0,70,0,0,0,0
runtime/build/libmos_runtime.a(ishrs.o),65,0,65,0,0,0,0
runtime/build/libmos_runtime.a(llshrs.o),55,0,55,0,0,0,0
runtime/build/libmos_runtime.a(strspn.o),49,0,49,0,0,0,0
runtime/build/libmos_runtime.a(imulu.o),48,0,48,0,0,0,0
runtime/build/libmos_runtime.a(memmove.o),48,0,48,0,0,0,0
runtime/build/libmos_runtime.a(idvrms.o),46,0,46,0,0,0,0
runtime/build/libmos_runtime.a(memcmp.o),42,0,42,0,0,0,0
runtime/build/libmos_runtime.a(ishl.o),38,0,38,0,0,0,0
runtime/build/libmos_runtime.a(ldvrmu.o),36,0,36,0,0,0,0
runtime/build/libmos_runtime.a(memcpy.o),33,0,33,0,0,0,0
runtime/build/libmos_runtime.a(memset.o),31,0,31,0,0,0,0
runtime/build/libmos_runtime.a(strchr.o),31,0,31,0,0,0,0
runtime/build/libmos_runtime.a(i48_required.o),30,0,30,0,0,0,0
runtime/build/libmos_runtime.a(strrchr.o),30,0,30,0,0,0,0
runtime/build/libmos_runtime.a(memchr.o),29,0,29,0,0,0,0
runtime/build/libmos_runtime.a(strcat.o),29,0,29,0,0,0,0
runtime/build/libmos_runtime.a(and.o),28,0,28,0,0,0,0
runtime/build/libmos_runtime.a(lshrs.o),27,0,27,0,0,0,0
runtime/build/libmos_runtime.a(or.o),27,0,27,0,0,0,0
runtime/build/libmos_runtime.a(xor.o),27,0,27,0,0,0,0
runtime/build/libmos_runtime.a(llshru.o),26,0,26,0,0,0,0
runtime/build/libmos_runtime.a(strcmp.o),25,0,25,0,0,0,0
runtime/build/libmos_runtime.a(idvrmu.o),24,0,24,0,0,0,0
runtime/build/libmos_runtime.a(ldivs.o),24,0,24,0,0,0,0
runtime/build/libmos_runtime.a(strcpy.o),24,0,24,0,0,0,0
obj/asm/src/emos_console_io.o,22,0,22,0,0,0,0
runtime/build/libmos_runtime.a(isxdigit.o),21,0,21,0,0,0,0
runtime/build/libmos_runtime.a(ldivs_lrems_common.o),17,0,17,0,0,0,0
runtime/build/libmos_runtime.a(strlen.o),17,0,17,0,0,0,0
runtime/build/libmos_runtime.a(ldivu.o),16,0,16,0,0,0,0
runtime/build/libmos_runtime.a(lshru.o),16,0,16,0,0,0,0
runtime/build/libmos_runtime.a(sdvrmu.o),16,0,16,0,0,0,0
runtime/build/libmos_runtime.a(isspace.o),15,0,15,0,0,0,0
runtime/build/libmos_runtime.a(setflag.o),15,0,15,0,0,0,0
runtime/build/libmos_runtime.a(frameset.o),14,0,14,0,0,0,0
runtime/build/libmos_runtime.a(isalpha.o),14,0,14,0,0,0,0
runtime/build/libmos_runtime.a(lcmps.o),13,0,13,0,0,0,0
runtime/build/libmos_runtime.a(lneg.o),13,0,13,0,0,0,0
runtime/build/libmos_runtime.a(lnot.o),13,0,13,0,0,0,0
runtime/build/libmos_runtime.a(lshl.o),13,0,13,0,0,0,0
runtime/build/libmos_runtime.a(sshru.o),13,0,13,0,0,0,0
runtime/build/libmos_runtime.a(tolower.o),12,0,12,0,0,0,0
runtime/build/libmos_runtime.a(toupper.o),12,0,12,0,0,0,0
runtime/build/libmos_runtime.a(frameset0.o),11,0,11,0,0,0,0
runtime/build/libmos_runtime.a(isdigit.o),11,0,11,0,0,0,0
runtime/build/libmos_runtime.a(isupper.o),11,0,11,0,0,0,0
runtime/build/libmos_runtime.a(lcmpzero.o),11,0,11,0,0,0,0
runtime/build/libmos_runtime.a(bshru.o),10,0,10,0,0,0,0
runtime/build/libmos_runtime.a(inot.o),10,0,10,0,0,0,0
