repository,path,role,audience,subject,owner,authority_target,review_state,disposition
agon-extender,HANDOFF.md,maintained documentation,human and agent,.,agon-extender,HANDOFF.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,LICENSE,maintained documentation,human and agent,.,agon-extender,LICENSE,pending,review body; retain until adjudicated
agon-extender,LICENSING.md,maintained documentation,human and agent,.,agon-extender,LICENSING.md,pending,review body; retain until adjudicated
agon-extender,OWNERSHIP.md,maintained documentation,human and agent,.,agon-extender,OWNERSHIP.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,README.md,maintained documentation,human and agent,.,agon-extender,README.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,TODO.md,maintained documentation,human and agent,.,agon-extender,TODO.md,partial,scoped claims/navigation inspected; remaining body not accepted
agon-extender,assets/notifications/README.md,maintained documentation,human and agent,assets/notifications,agon-extender,assets/notifications/README.md,pending,review body; retain until adjudicated
agon-extender,docs/architecture.md,maintained documentation,human and agent,docs,agon-extender,docs/architecture.md,reviewed,B14: current architecture/applicability reviewed; frozen evidence and open design boundaries retained
agon-extender,docs/architecture/vdp-upstream-precis.md,maintained documentation,human and agent,docs/architecture,agon-extender,docs/architecture/vdp-upstream-precis.md,partial,B14: current integration/applicability claims checked; remaining historical detail not fully revalidated
agon-extender,docs/bench-reset.md,maintained documentation,human and agent,docs,agon-extender,docs/bench-reset.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/decisions/ADR-0001-vdp-source-layout.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0001-vdp-source-layout.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0002-hybrid-firmware-framework.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0002-hybrid-firmware-framework.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0003-pioarduino-platform-baseline.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0003-pioarduino-platform-baseline.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0004-p4-silicon-identity.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0004-p4-silicon-identity.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0005-flash-bus-mode.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0005-flash-bus-mode.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0006-board-memory-model.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0006-board-memory-model.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0007-flash-partition-strategy.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0007-flash-partition-strategy.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0008-minimal-cmake-boundary.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0008-minimal-cmake-boundary.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0009-platformio-wrapper.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0009-platformio-wrapper.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0010-cpu-frequency.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0010-cpu-frequency.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0011-upstream-vdp-integration-and-project-structure.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0011-upstream-vdp-integration-and-project-structure.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0012-vendored-release-dependencies.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0012-vendored-release-dependencies.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0013-vdp-survey-integration-boundaries.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0013-vdp-survey-integration-boundaries.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0014-edu-operating-modes-and-service-architecture.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0014-edu-operating-modes-and-service-architecture.md,partial,B14: current integration/applicability claims checked; remaining historical detail not fully revalidated
agon-extender,docs/decisions/ADR-0015-p4-display-backend-and-frame-service.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0015-p4-display-backend-and-frame-service.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0016-v1-transport-electrical-core.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0016-v1-transport-electrical-core.md,reviewed,B14: current architecture/applicability reviewed; frozen evidence and open design boundaries retained
agon-extender,docs/decisions/ADR-0017-generalized-edp-callbacks.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0017-generalized-edp-callbacks.md,reviewed,B14: current architecture/applicability reviewed; frozen evidence and open design boundaries retained
agon-extender,docs/decisions/ADR-0018-rgb222-browser-video.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0018-rgb222-browser-video.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0019-host-keyboard-and-bench-reset-control.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0019-host-keyboard-and-bench-reset-control.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/ADR-0020-web-output-30fps.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0020-web-output-30fps.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/decisions/ADR-0021-rle2-browser-default.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0021-rle2-browser-default.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/decisions/ADR-0022-browser-keyboard-capture.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-0022-browser-keyboard-capture.md,reviewed,current body reviewed; corrections/retention in CHECKS and FINDINGS
agon-extender,docs/decisions/ADR-2026-09-21-sd-layout.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/ADR-2026-09-21-sd-layout.md,pending,verify accepted scope/current applicability; preserve decision history
agon-extender,docs/decisions/AUDIT-2026-08-23-001-operating-mode-semantics.md,decision,human and agent,docs/decisions,agon-extender,docs/decisions/AUDIT-2026-08-23-001-operating-mode-semantics.md,pending,verify accepted scope/current applicability; preserve decision history
