source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
1,0,242,1,120,16359,16601,0,2,240,100,4329,4229
1,1,242,1,120,18897,19139,0,2,240,97,1882,1785
1,2,242,1,120,18896,19138,0,2,240,113,2237,2124
1,3,242,1,120,18897,19139,0,2,240,97,1578,1481
1,4,242,1,120,18896,19138,0,2,240,96,1921,1825
1,5,242,1,120,18897,19139,0,2,240,96,2274,2178
1,6,242,1,120,18897,19139,0,2,240,112,1632,1520
1,7,242,1,120,18896,19138,0,2,240,70,1944,1874
1,8,242,1,120,18897,19139,0,2,240,97,2321,2224
1,9,242,1,120,18896,19138,0,2,240,112,1676,1564
1,10,242,1,120,18897,19139,0,2,240,88,2001,1913
1,11,242,1,120,18896,19138,0,2,240,97,2370,2273
1,12,242,1,120,18897,19139,0,2,240,98,1716,1618
1,13,242,1,120,18897,19139,0,2,240,123,2067,1944
1,14,242,1,120,18896,19138,0,2,240,98,2416,2318
1,15,242,1,120,18897,19139,0,2,240,97,1760,1663
1,16,242,1,120,18896,19138,0,2,240,139,2114,1975
1,17,242,1,120,18897,19139,0,2,240,96,2456,2360
1,18,242,1,120,18897,19139,0,2,240,113,1816,1703
1,19,242,1,120,18896,19138,0,2,240,112,2160,2048
1,20,242,1,120,18897,19139,0,2,240,113,2511,2398
1,21,242,1,120,18896,19138,0,2,240,99,1856,1757
1,22,242,1,120,18897,19139,0,2,240,110,2207,2097
1,23,242,1,120,18896,19138,0,2,240,109,2557,2448
1,24,242,1,120,18897,19139,0,2,240,111,1904,1793
1,25,242,1,120,18897,19139,0,2,240,111,2256,2145
1,26,242,1,120,18896,19138,0,2,240,111,2598,2487
1,27,242,1,120,18897,19139,0,2,240,85,1923,1838
1,28,242,1,120,18896,19138,0,2,240,110,2303,2193
1,29,242,1,120,18897,19139,0,2,240,111,2650,2539
1,30,242,1,120,18896,19138,0,2,240,70,1950,1880
1,31,242,1,120,18897,19139,0,2,240,110,2344,2234
1,32,242,1,120,18897,19139,0,2,240,95,2687,2592
1,33,242,1,120,18896,19138,0,2,240,112,2039,1927
1,34,242,1,120,18897,19139,0,2,240,109,2385,2276
1,35,242,1,120,18896,19138,0,2,240,94,2730,2636
1,36,242,1,120,18897,19139,0,2,240,148,2087,1939
1,37,242,1,120,18897,19139,0,2,240,95,2427,2332
1,38,242,1,120,18896,19138,0,2,240,95,2775,2680
1,39,242,1,120,18897,19139,0,2,240,135,2138,2003
1,40,242,1,120,18896,19138,0,2,240,113,2479,2366
1,41,242,1,120,18897,19139,0,2,240,96,2825,2729
1,42,242,1,120,18896,19138,0,2,240,111,2182,2071
1,43,242,1,120,18897,19139,0,2,240,94,2521,2427
1,44,242,1,120,18897,19139,0,2,240,94,2865,2771
1,45,242,1,120,18896,19138,0,2,240,110,2231,2121
1,46,242,1,120,18897,19139,0,2,240,111,2571,2460
1,47,242,1,120,18896,19138,0,2,240,111,2919,2808
1,48,242,1,120,18897,19139,0,2,240,111,2281,2170
1,49,242,1,120,18896,19138,0,2,240,111,2616,2505
1,50,242,1,120,18897,19139,0,2,240,70,2934,2864
1,51,242,1,120,18897,19139,0,2,240,94,2321,2227
1,52,242,1,120,18896,19138,0,2,240,110,2663,2553
1,53,242,1,120,18897,19139,0,2,240,73,3161,3088
1,54,242,1,120,18896,19138,0,2,240,94,2373,2279
1,55,242,1,120,18897,19139,0,2,240,98,2704,2606
1,56,242,1,120,18897,19139,0,2,240,111,3044,2933
1,57,242,1,120,18896,19138,0,2,240,95,2425,2330
1,58,242,1,120,18897,19139,0,2,240,114,2752,2638
1,59,242,1,120,18896,19138,0,2,240,121,3094,2973
1,60,242,1,120,18897,19139,0,2,240,113,2480,2367
1,61,242,1,120,18896,19138,0,2,240,111,2796,2685
1,62,242,1,120,18897,19139,0,2,240,111,3151,3040
1,63,242,1,120,18897,19139,0,2,240,111,2532,2421
1,64,242,1,120,18896,19138,0,2,240,95,2833,2738
1,65,242,1,120,18897,19139,0,2,240,95,3185,3090
1,66,242,1,120,18896,19138,0,2,240,111,2580,2469
1,67,242,1,120,18897,19139,0,2,240,95,2885,2790
1,68,242,1,120,18896,19138,0,2,240,95,3233,3138
1,69,242,1,120,18897,19139,0,2,240,111,2633,2522
1,70,242,1,120,18897,19139,0,2,240,111,2934,2823
1,71,242,1,120,18896,19138,0,2,240,112,3282,3170
1,72,242,1,120,18897,19139,0,2,240,111,2677,2566
1,73,242,1,120,18896,19138,0,2,240,88,2958,2870
1,74,242,1,120,18897,19139,0,2,240,109,3334,3225
1,75,242,1,120,18896,19138,0,2,240,96,2725,2629
1,76,242,1,120,18897,19139,0,2,240,70,2993,2923
1,77,242,1,120,18897,19139,0,2,240,111,3373,3262
1,78,242,1,120,18896,19138,0,2,240,95,2772,2677
1,79,242,1,120,18897,19139,0,2,240,122,3069,2947
1,80,242,1,120,18896,19138,0,2,240,111,3422,3311
1,81,242,1,120,18897,19139,0,2,240,111,2828,2717
1,82,242,1,120,18897,19139,0,2,240,121,3108,2987
1,83,242,1,120,18896,19138,0,2,240,110,3471,3361
1,84,242,1,120,18897,19139,0,2,240,95,2852,2757
1,85,242,1,120,18896,19138,0,2,240,112,3165,3053
1,86,242,1,120,18897,19139,0,2,240,111,3511,3400
1,87,242,1,120,18896,19138,0,2,240,109,2910,2801
1,88,242,1,120,18897,19139,0,2,240,111,3210,3099
1,89,242,1,120,18897,19139,0,2,240,110,3560,3450
1,90,242,1,120,18896,19138,0,2,240,94,2946,2852
1,91,242,1,120,18897,19139,0,2,240,111,3254,3143
1,92,242,1,120,18896,19138,0,2,240,95,3593,3498
1,93,242,1,120,18897,19139,0,2,240,86,2981,2895
1,94,242,1,120,18896,19138,0,2,240,111,3302,3191
1,95,242,1,120,18897,19139,0,2,240,94,3638,3544
1,96,242,1,120,18897,19139,0,2,240,88,3035,2947
1,97,242,1,120,18896,19138,0,2,240,95,3335,3240
1,98,242,1,120,18897,19139,0,2,240,95,3686,3591
1,99,242,1,120,18896,19138,0,2,240,112,3101,2989
1,100,242,1,120,18897,19139,0,2,240,96,3387,3291
1,101,242,1,120,18897,19139,0,2,240,111,3741,3630
1,102,242,1,120,18896,19138,0,2,240,137,4090,3953
1,103,242,1,120,18897,19139,0,2,240,112,3436,3324
1,104,242,1,120,18896,19138,0,2,240,111,3786,3675
1,105,242,1,120,18897,19139,0,2,240,95,4127,4032
1,106,242,1,120,18896,19138,0,2,240,97,3475,3378
1,107,242,1,120,18897,19139,0,2,240,96,3827,3731
1,108,242,1,120,18897,19139,0,2,240,96,4175,4079
1,109,242,1,120,18896,19138,0,2,240,112,3532,3420
1,110,242,1,120,18897,19139,0,2,240,110,3876,3766
1,111,242,1,120,18896,19138,0,2,240,111,4227,4116
1,112,242,1,120,18897,19139,0,2,240,113,3573,3460
1,113,242,1,120,18896,19138,0,2,240,94,3911,3817
1,114,242,1,120,18897,19139,0,2,240,95,4259,4164
1,115,242,1,120,18897,19139,0,2,240,111,3616,3505
1,116,242,1,120,18896,19138,0,2,240,70,3936,3866
1,117,242,1,120,18897,19139,0,2,240,111,4317,4206
1,118,242,1,120,18896,19138,0,2,240,110,3647,3537
1,119,242,1,120,18897,19139,0,2,240,88,3985,3897
