source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
0,0,172,1,90,19042,19214,0,4,242,195,16201,16006
0,1,164,1,81,18956,19120,0,2,242,120,16465,16345
0,2,164,1,81,18956,19120,0,2,242,121,15810,15689
0,3,164,1,81,18956,19120,0,2,242,122,16208,16086
0,4,164,1,81,18956,19120,0,2,242,121,16558,16437
0,5,164,1,81,18956,19120,0,2,242,121,15830,15709
0,6,164,1,81,18956,19120,0,2,242,121,16292,16171
0,7,164,1,81,18956,19120,0,2,242,133,16672,16539
0,8,164,1,81,18956,19120,0,2,242,121,15833,15712
0,9,164,1,81,18956,19120,0,2,242,121,16384,16263
0,10,164,1,81,18956,19120,0,2,242,132,15753,15621
0,11,164,1,81,18956,19120,0,2,242,196,16129,15933
0,12,164,1,81,18956,19120,0,2,242,120,16487,16367
0,13,164,1,81,18956,19120,0,2,242,121,15831,15710
0,14,164,1,81,18956,19120,0,2,242,121,16230,16109
0,15,164,1,81,18956,19120,0,2,242,122,16578,16456
0,16,164,1,81,18956,19120,0,2,242,157,15834,15677
0,17,164,1,81,18956,19120,0,2,242,124,16305,16181
0,18,164,1,81,18956,19120,0,2,242,131,15707,15576
0,19,164,1,81,18956,19120,0,2,242,128,15957,15829
0,20,164,1,81,18956,19120,0,2,242,122,16364,16242
0,21,164,1,81,18956,19120,0,2,242,134,15759,15625
0,22,164,1,81,18956,19120,0,2,242,196,16136,15940
0,23,164,1,81,18956,19120,0,2,242,120,16549,16429
0,24,164,1,81,18956,19120,0,2,242,121,15796,15675
0,25,164,1,81,18956,19120,0,2,242,122,16249,16127
0,26,164,1,81,18956,19120,0,2,242,121,16599,16478
0,27,164,1,81,18956,19120,0,2,242,121,15834,15713
0,28,164,1,81,18956,19120,0,2,242,121,16340,16219
0,29,164,1,81,18956,19120,0,2,242,132,15694,15562
0,30,164,1,81,18956,19120,0,2,242,126,15956,15830
0,31,164,1,81,18956,19120,0,2,242,121,16420,16299
0,32,164,1,81,18956,19120,0,2,242,121,15768,15647
0,33,164,1,81,18956,19120,0,2,242,196,16167,15971
0,34,164,1,81,18956,19120,0,2,242,119,16522,16403
0,35,164,1,81,18956,19120,0,2,242,127,15830,15703
0,36,164,1,81,18956,19120,0,2,242,121,16245,16124
0,37,164,1,81,18956,19120,0,2,242,121,16602,16481
0,38,164,1,81,18956,19120,0,2,242,121,15834,15713
0,39,164,1,81,18956,19120,0,2,242,123,16361,16238
0,40,164,1,81,18956,19120,0,2,242,132,15739,15607
0,41,164,1,81,18956,19120,0,2,242,199,16054,15855
0,42,164,1,81,18956,19120,0,2,242,121,16423,16302
0,43,164,1,81,18956,19120,0,2,242,134,15768,15634
0,44,164,1,81,18956,19120,0,2,242,195,16180,15985
0,45,164,1,81,18956,19120,0,2,242,120,16544,16424
0,46,164,1,81,18956,19120,0,2,242,122,15831,15709
0,47,164,1,81,18956,19120,0,2,242,157,16279,16122
0,48,164,1,81,18956,19120,0,2,242,121,16622,16501
0,49,164,1,81,18956,19120,0,2,242,121,15834,15713
0,50,164,1,81,18956,19120,0,2,242,121,16357,16236
0,51,164,1,81,18956,19120,0,2,242,132,15725,15593
0,52,164,1,81,18956,19120,0,2,242,201,16134,15933
0,53,164,1,81,18956,19120,0,2,242,125,16462,16337
0,54,164,1,81,18956,19120,0,2,242,121,15793,15672
0,55,164,1,81,18956,19120,0,2,242,121,16201,16080
0,56,164,1,81,18956,19120,0,2,242,121,16540,16419
0,57,164,1,81,18956,19120,0,2,242,121,15830,15709
0,58,164,1,81,18956,19120,0,2,242,121,16336,16215
0,59,164,1,81,18956,19120,0,2,242,121,16648,16527
0,60,164,1,81,18956,19120,0,2,242,121,15834,15713
0,61,164,1,81,18956,19120,0,2,242,121,16381,16260
0,62,164,1,81,18956,19120,0,2,242,131,15776,15645
0,63,164,1,81,18956,19120,0,2,242,195,16122,15927
0,64,164,1,81,18956,19120,0,2,242,120,16485,16365
0,65,164,1,81,18956,19120,0,2,242,121,15810,15689
0,66,164,1,81,18956,19120,0,2,242,121,16214,16093
0,67,164,1,81,18956,19120,0,2,242,121,16560,16439
0,68,164,1,81,18956,19120,0,2,242,121,15834,15713
0,69,164,1,81,18956,19120,0,2,242,121,16301,16180
0,70,164,1,81,18956,19120,0,2,242,121,16663,16542
0,71,164,1,81,18956,19120,0,2,242,121,15835,15714
0,72,164,1,81,18956,19120,0,2,242,123,16375,16252
0,73,164,1,81,18956,19120,0,2,242,131,15774,15643
0,74,164,1,81,18956,19120,0,2,242,235,16136,15901
0,75,164,1,81,18956,19120,0,2,242,120,16490,16370
0,76,164,1,81,18956,19120,0,2,242,121,15831,15710
0,77,164,1,81,18956,19120,0,2,242,121,16218,16097
0,78,164,1,81,18956,19120,0,2,242,121,16546,16425
0,79,164,1,81,18956,19120,0,2,242,121,15834,15713
0,80,164,1,81,18956,19120,0,2,242,121,16322,16201
0,81,164,1,81,18956,19120,0,2,242,132,15709,15577
0,82,164,1,81,18956,19120,0,2,242,126,15930,15804
0,83,164,1,81,18956,19120,0,2,242,121,16402,16281
0,84,164,1,81,18956,19120,0,2,242,130,15759,15629
0,85,164,1,81,18956,19120,0,2,242,195,16146,15951
0,86,164,1,81,18956,19120,0,2,242,120,16506,16386
0,87,164,1,81,18956,19120,0,2,242,121,15830,15709
0,88,164,1,81,18956,19120,0,2,242,121,16238,16117
0,89,164,1,81,18956,19120,0,2,242,120,16601,16481
0,90,164,1,81,18956,19120,0,2,242,126,15826,15700
0,91,164,1,81,18956,19120,0,2,242,121,16342,16221
0,92,164,1,81,18956,19120,0,2,242,133,15695,15562
0,93,164,1,81,18956,19120,0,2,242,126,15968,15842
0,94,164,1,81,18956,19120,0,2,242,121,16409,16288
0,95,164,1,81,18956,19120,0,2,242,121,15768,15647
0,96,164,1,81,18956,19120,0,2,242,195,16154,15959
0,97,164,1,81,18956,19120,0,2,242,120,16522,16402
0,98,164,1,81,18956,19120,0,2,242,121,15830,15709
0,99,164,1,81,18956,19120,0,2,242,121,16260,16139
0,100,164,1,81,18956,19120,0,2,242,121,16601,16480
0,101,164,1,81,18956,19120,0,2,242,157,15834,15677
0,102,164,1,81,18956,19120,0,2,242,121,16345,16224
0,103,164,1,81,18956,19120,0,2,242,132,15738,15606
0,104,164,1,81,18956,19120,0,2,242,199,16067,15868
0,105,164,1,81,18956,19120,0,2,242,157,16442,16285
0,106,164,1,81,18956,19120,0,2,242,121,15769,15648
0,107,164,1,81,18956,19120,0,2,242,195,16175,15980
0,108,164,1,81,18956,19120,0,2,242,126,16521,16395
0,109,164,1,81,18956,19120,0,2,242,121,15797,15676
0,110,164,1,81,18956,19120,0,2,242,121,16280,16159
0,111,164,1,81,18956,19120,0,2,242,121,16622,16501
0,112,164,1,81,18956,19120,0,2,242,121,15834,15713
0,113,164,1,81,18956,19120,0,2,242,121,16366,16245
0,114,164,1,81,18956,19120,0,2,242,131,15761,15630
0,115,164,1,81,18956,19120,0,2,242,198,16113,15915
0,116,164,1,81,18956,19120,0,2,242,120,16465,16345
0,117,164,1,81,18956,19120,0,2,242,121,15794,15673
0,118,164,1,81,18956,19120,0,2,242,192,16193,16001
0,119,164,1,81,18956,19120,0,2,242,121,16540,16419
