source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
1,0,523,1,402,10616,11139,0,2,240,407,3340,2933
1,1,523,1,402,18595,19118,0,2,240,350,1620,1270
1,2,523,1,402,18595,19118,0,2,240,327,1969,1642
1,3,523,1,402,18595,19118,0,2,240,322,4771,4449
1,4,523,1,402,18595,19118,0,2,240,352,1717,1365
1,5,523,1,402,18595,19118,0,2,240,365,2092,1727
1,6,523,1,402,18595,19118,0,2,240,368,1595,1227
1,7,523,1,402,18595,19118,0,2,240,368,1823,1455
1,8,523,1,402,18595,19118,0,2,240,375,2188,1813
1,9,523,1,402,18595,19118,0,2,240,346,1691,1345
1,10,523,1,402,18595,19118,0,2,240,359,1920,1561
1,11,523,1,402,18595,19118,0,2,240,391,2284,1893
1,12,523,1,402,18595,19118,0,2,240,366,1798,1432
1,13,523,1,402,18595,19118,0,2,240,339,1990,1651
1,14,523,1,402,18595,19118,0,2,240,385,2380,1995
1,15,523,1,402,18595,19118,0,2,240,366,1880,1514
1,16,523,1,402,18595,19118,0,2,240,373,2108,1735
1,17,523,1,402,18595,19118,0,2,240,353,2467,2114
1,18,523,1,402,18595,19118,0,2,240,347,1970,1623
1,19,523,1,402,18595,19118,0,2,240,395,2202,1807
1,20,523,1,402,18595,19118,0,2,240,348,2558,2210
1,21,523,1,402,18595,19118,0,2,240,350,2060,1710
1,22,523,1,402,18595,19118,0,2,240,385,2302,1917
1,23,523,1,402,18595,19118,0,2,240,366,2661,2295
1,24,523,1,402,18595,19118,0,2,240,325,2130,1805
1,25,523,1,402,18595,19118,0,2,240,346,2388,2042
1,26,523,1,402,18595,19118,0,2,240,347,2753,2406
1,27,523,1,402,18595,19118,0,2,240,386,2275,1889
1,28,523,1,402,18595,19118,0,2,240,349,2483,2134
1,29,523,1,402,18595,19118,0,2,240,348,2843,2495
1,30,523,1,402,18595,19118,0,2,240,388,2370,1982
1,31,523,1,402,18595,19118,0,2,240,360,2589,2229
1,32,523,1,402,18595,19118,0,2,240,334,2931,2597
1,33,523,1,402,18595,19118,0,2,240,380,3315,2935
1,34,523,1,402,18595,19118,0,2,240,356,2681,2325
1,35,523,1,402,18595,19118,0,2,240,342,3036,2694
1,36,523,1,402,18595,19118,0,2,240,360,3405,3045
