source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
1,0,13395,3952,9322,15009,28404,0,4,282,8077,12888,4811
1,1,13139,4087,8932,5974,19113,0,2,282,7758,9088,1330
1,2,13139,4087,8932,5974,19113,0,2,282,7748,8902,1154
1,3,13139,4087,8932,5974,19113,0,2,282,7740,8932,1192
1,4,13077,4087,8870,6036,19113,0,2,282,7708,9181,1473
1,5,12930,4087,8723,6183,19113,0,2,282,7580,8972,1392
1,6,12771,3927,8723,6342,19113,0,2,282,7566,9158,1592
1,7,12771,3927,8723,6342,19113,0,2,282,7580,9420,1840
1,8,12771,3927,8723,6342,19113,0,2,282,7568,9226,1658
1,9,13046,3927,8998,6067,19113,0,2,282,7807,9275,1468
1,10,12980,3927,8932,6133,19113,0,2,282,7756,9505,1749
1,11,12980,3927,8932,6133,19113,0,2,282,7753,9339,1586
1,12,17009,7353,9536,2104,19113,0,2,282,8310,10577,2267
1,13,17762,6329,11312,1351,19113,0,2,282,9808,11514,1706
1,14,13562,3946,9495,5551,19113,0,2,282,8218,9406,1188
1,15,13417,3948,9348,5696,19113,0,2,282,8108,9459,1351
1,16,13415,3946,9348,5698,19113,0,2,282,8108,9679,1571
1,17,13415,3946,9348,5698,19113,0,2,282,8114,9525,1411
1,18,13415,3946,9348,5698,19113,0,2,282,8120,9562,1442
1,19,23984,8447,15417,14292,38276,0,4,282,13375,18196,4821
1,20,12433,614,11699,6680,19113,0,2,282,10148,12581,2433
1,21,12396,614,11661,6717,19113,0,2,282,10112,12758,2646
1,22,12396,614,11661,6717,19113,0,2,282,10140,12639,2499
1,23,12558,624,11813,6555,19113,0,2,282,10243,12678,2435
1,24,16101,4025,11955,3012,19113,0,2,282,10379,13922,3543
1,25,15966,4166,11680,3147,19113,0,2,282,10173,13830,3657
1,26,15904,4166,11618,3209,19113,0,2,282,10082,13904,3822
1,27,15913,4169,11623,3200,19113,0,2,282,10089,13896,3807
1,28,15789,4160,11508,3324,19113,0,2,282,9994,13924,3930
1,29,16026,4160,11746,3087,19113,0,2,282,10195,13983,3788
