source,frame,submitted_us,completed_us,drain_us,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks
255,0,0,0,0,13560,0,13560,15533,29093,0,4,242
255,1,0,0,0,4810,0,4810,14330,19140,0,2,242
255,2,0,0,0,4945,0,4945,14196,19141,0,2,242
255,3,0,0,0,4810,0,4810,14331,19141,0,2,242
255,4,0,0,0,4945,0,4945,14195,19140,0,2,242
255,5,0,0,0,5117,0,5117,14024,19141,0,2,242
255,6,0,0,0,5513,0,5513,13628,19141,0,2,242
255,7,0,0,0,5075,0,5075,14066,19141,0,2,242
255,8,0,0,0,5685,0,5685,13538,19223,0,2,242
255,9,0,0,0,5447,0,5447,13611,19058,0,2,242
255,10,0,0,0,6078,0,6078,13063,19141,0,2,242
255,11,0,0,0,5857,0,5857,13232,19089,0,2,242
255,12,0,0,0,5851,0,5851,13290,19141,0,2,242
255,13,0,0,0,6166,0,6166,12974,19140,0,2,242
255,14,0,0,0,6136,0,6136,13005,19141,0,2,242
255,15,0,0,0,6056,0,6056,13085,19141,0,2,242
255,16,0,0,0,6164,0,6164,12977,19141,0,2,242
255,17,0,0,0,6324,0,6324,12816,19140,0,2,242
255,18,0,0,0,6120,0,6120,13021,19141,0,2,242
255,19,0,0,0,5847,0,5847,13293,19140,0,2,242
255,20,0,0,0,6722,0,6722,12419,19141,0,2,242
255,21,0,0,0,6278,0,6278,12863,19141,0,2,242
255,22,0,0,0,6556,0,6556,12585,19141,0,2,242
255,23,0,0,0,6581,0,6581,12560,19141,0,2,242
255,24,0,0,0,6548,0,6548,12593,19141,0,2,242
255,25,0,0,0,6282,0,6282,12858,19140,0,2,242
255,26,0,0,0,6544,0,6544,12597,19141,0,2,242
255,27,0,0,0,6615,0,6615,12526,19141,0,2,242
255,28,0,0,0,6544,0,6544,12597,19141,0,2,242
255,29,0,0,0,6557,0,6557,12584,19141,0,2,242
255,30,0,0,0,6556,0,6556,12585,19141,0,2,242
255,31,0,0,0,6317,0,6317,12823,19140,0,2,242
255,32,0,0,0,6544,0,6544,12597,19141,0,2,242
255,33,0,0,0,6274,0,6274,12866,19140,0,2,242
255,34,0,0,0,6861,0,6861,12280,19141,0,2,242
255,35,0,0,0,6573,0,6573,12568,19141,0,2,242
255,36,0,0,0,6536,0,6536,12604,19140,0,2,242
255,37,0,0,0,6262,0,6262,12879,19141,0,2,242
255,38,0,0,0,6540,0,6540,12600,19140,0,2,242
255,39,0,0,0,6402,0,6402,12739,19141,0,2,242
255,40,0,0,0,6132,0,6132,13008,19140,0,2,242
255,41,0,0,0,6590,0,6590,12551,19141,0,2,242
255,42,0,0,0,6409,0,6409,12732,19141,0,2,242
255,43,0,0,0,6405,0,6405,12735,19140,0,2,242
255,44,0,0,0,6417,0,6417,12724,19141,0,2,242
255,45,0,0,0,6549,0,6549,12592,19141,0,2,242
255,46,0,0,0,6009,0,6009,13131,19140,0,2,242
255,47,0,0,0,6551,0,6551,12590,19141,0,2,242
255,48,0,0,0,7409,0,7409,11732,19141,0,2,242
255,49,0,0,0,7277,0,7277,11863,19140,0,2,242
255,50,0,0,0,7257,0,7257,11884,19141,0,2,242
255,51,0,0,0,7249,0,7249,11892,19141,0,2,242
255,52,0,0,0,7405,0,7405,11735,19140,0,2,242
255,53,0,0,0,7159,0,7159,11982,19141,0,2,242
255,54,0,0,0,6986,0,6986,12154,19140,0,2,242
255,55,0,0,0,7434,0,7434,11707,19141,0,2,242
255,56,0,0,0,7253,0,7253,11887,19140,0,2,242
255,57,0,0,0,7257,0,7257,11884,19141,0,2,242
255,58,0,0,0,7257,0,7257,11883,19140,0,2,242
255,59,0,0,0,7696,0,7696,11445,19141,0,2,242
255,60,0,0,0,6869,0,6869,12271,19140,0,2,242
255,61,0,0,0,6984,0,6984,12156,19140,0,2,242
255,62,0,0,0,7421,0,7421,11720,19141,0,2,242
255,63,0,0,0,7633,0,7633,11507,19140,0,2,242
255,64,0,0,0,7251,0,7251,11890,19141,0,2,242
255,65,0,0,0,7562,0,7562,11579,19141,0,2,242
255,66,0,0,0,7267,0,7267,11874,19141,0,2,242
255,67,0,0,0,7251,0,7251,11890,19141,0,2,242
255,68,0,0,0,7267,0,7267,11874,19141,0,2,242
255,69,0,0,0,7572,0,7572,11568,19140,0,2,242
255,70,0,0,0,7257,0,7257,11883,19140,0,2,242
255,71,0,0,0,7581,0,7581,11560,19141,0,2,242
255,72,0,0,0,7280,0,7280,11861,19141,0,2,242
255,73,0,0,0,7496,0,7496,11644,19140,0,2,242
255,74,0,0,0,7542,0,7542,11599,19141,0,2,242
255,75,0,0,0,7522,0,7522,11618,19140,0,2,242
255,76,0,0,0,7837,0,7837,11304,19141,0,2,242
255,77,0,0,0,7852,0,7852,11289,19141,0,2,242
255,78,0,0,0,7524,0,7524,11617,19141,0,2,242
255,79,0,0,0,7605,0,7605,11536,19141,0,2,242
255,80,0,0,0,7661,0,7661,11480,19141,0,2,242
255,81,0,0,0,7202,0,7202,11938,19140,0,2,242
255,82,0,0,0,7270,0,7270,11871,19141,0,2,242
255,83,0,0,0,7697,0,7697,11444,19141,0,2,242
255,84,0,0,0,7524,0,7524,11617,19141,0,2,242
255,85,0,0,0,7536,0,7536,11604,19140,0,2,242
255,86,0,0,0,7512,0,7512,11629,19141,0,2,242
255,87,0,0,0,7666,0,7666,11475,19141,0,2,242
255,88,0,0,0,7130,0,7130,12010,19140,0,2,242
255,89,0,0,0,7641,0,7641,11500,19141,0,2,242
255,90,0,0,0,7717,0,7717,11424,19141,0,2,242
255,91,0,0,0,7504,0,7504,11636,19140,0,2,242
255,92,0,0,0,7520,0,7520,11621,19141,0,2,242
255,93,0,0,0,7519,0,7519,11622,19141,0,2,242
255,94,0,0,0,7656,0,7656,11484,19140,0,2,242
255,95,0,0,0,7485,0,7485,11656,19141,0,2,242
255,96,0,0,0,7267,0,7267,11874,19141,0,2,242
255,97,0,0,0,7771,0,7771,11369,19140,0,2,242
255,98,0,0,0,7526,0,7526,11615,19141,0,2,242
255,99,0,0,0,7538,0,7538,11603,19141,0,2,242
255,100,0,0,0,7522,0,7522,11619,19141,0,2,242
255,101,0,0,0,7990,0,7990,11150,19140,0,2,242
255,102,0,0,0,7118,0,7118,12022,19140,0,2,242
255,103,0,0,0,7652,0,7652,11489,19141,0,2,242
255,104,0,0,0,7709,0,7709,11431,19140,0,2,242
255,105,0,0,0,7523,0,7523,11618,19141,0,2,242
255,106,0,0,0,7523,0,7523,11617,19140,0,2,242
255,107,0,0,0,7842,0,7842,11299,19141,0,2,242
255,108,0,0,0,7527,0,7527,11614,19141,0,2,242
255,109,0,0,0,7525,0,7525,11615,19140,0,2,242
255,110,0,0,0,7532,0,7532,11609,19141,0,2,242
255,111,0,0,0,7890,0,7890,11251,19141,0,2,242
