source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
1,0,5938,0,5938,7247,13185,0,2,240,6224,7844,1620
1,1,7476,0,7476,11684,19160,0,2,240,5458,7924,2466
1,2,5149,0,5149,14011,19160,0,2,240,5586,8925,3339
1,3,5014,0,5014,14146,19160,0,2,240,5434,7928,2494
1,4,5149,0,5149,14010,19159,0,2,240,5541,7926,2385
1,5,5321,0,5321,13839,19160,0,2,240,5766,8928,3162
1,6,5149,0,5149,14011,19160,0,2,240,5473,7925,2452
1,7,5582,0,5582,13578,19160,0,2,240,5983,7927,1944
1,8,5600,0,5600,13559,19159,0,2,240,6035,8910,2875
1,9,5596,0,5596,13603,19199,0,2,240,5703,7943,2240
1,10,5600,0,5600,13445,19045,0,2,240,5737,7926,2189
1,11,6069,0,6069,13090,19159,0,2,240,6083,8928,2845
1,12,5579,0,5579,13621,19200,0,2,240,5649,7963,2314
1,13,5600,0,5600,13418,19018,0,2,240,5752,7889,2137
1,14,6335,0,6335,12824,19159,0,2,240,6228,8928,2700
1,15,5912,0,5912,13248,19160,0,2,240,5937,7927,1990
1,16,6109,0,6109,12973,19082,0,2,240,6046,7926,1880
1,17,6520,0,6520,12639,19159,0,2,240,6242,7618,1376
1,18,6344,0,6344,12816,19160,0,2,240,6031,7098,1067
1,19,6146,0,6146,13014,19160,0,2,240,5991,7318,1327
1,20,6348,0,6348,12811,19159,0,2,240,6092,7669,1577
1,21,6783,0,6783,12377,19160,0,2,240,6408,7217,809
1,22,6629,0,6629,12531,19160,0,2,240,6284,7361,1077
1,23,6920,0,6920,12240,19160,0,2,240,6564,7712,1148
1,24,6609,0,6609,12550,19159,0,2,240,6282,7188,906
1,25,6625,0,6625,12534,19159,0,2,240,6296,7410,1114
1,26,6613,0,6613,12547,19160,0,2,240,6289,7758,1469
1,27,6617,0,6617,12543,19160,0,2,240,6296,7241,945
1,28,6942,0,6942,12218,19160,0,2,240,6612,7459,847
1,29,6920,0,6920,12240,19160,0,2,240,6598,7796,1198
1,30,6613,0,6613,12546,19159,0,2,240,6320,7283,963
1,31,6684,0,6684,12475,19159,0,2,240,6305,7501,1196
1,32,6609,0,6609,12551,19160,0,2,240,6352,7848,1496
1,33,6609,0,6609,12550,19159,0,2,240,6357,7295,938
1,34,6621,0,6621,12539,19160,0,2,240,6359,7542,1183
1,35,6927,0,6927,12233,19160,0,2,240,6652,7893,1241
1,36,6633,0,6633,12526,19159,0,2,240,6353,7346,993
1,37,6609,0,6609,12551,19160,0,2,240,6284,7588,1304
1,38,6609,0,6609,12550,19159,0,2,240,6347,7927,1580
1,39,6777,0,6777,12383,19160,0,2,240,6469,7378,909
1,40,6022,0,6022,13138,19160,0,2,240,6066,7631,1565
1,41,6651,0,6651,12509,19160,0,2,240,6489,7958,1469
1,42,6788,0,6788,12372,19160,0,2,240,6586,7486,900
1,43,6609,0,6609,12551,19160,0,2,240,6371,7678,1307
1,44,6609,0,6609,12550,19159,0,2,240,6367,7999,1632
1,45,6621,0,6621,12539,19160,0,2,240,6411,7439,1028
1,46,6757,0,6757,12402,19159,0,2,240,6450,7720,1270
1,47,6599,0,6599,12561,19160,0,2,240,6409,8072,1663
1,48,7202,0,7202,11958,19160,0,2,240,6342,7544,1202
1,49,7629,0,7629,11530,19159,0,2,240,6711,7774,1063
1,50,7465,0,7465,11695,19160,0,2,240,6597,8122,1525
1,51,7473,0,7473,11686,19159,0,2,240,6637,7566,929
1,52,7465,0,7465,11694,19159,0,2,240,6571,7814,1243
1,53,7900,0,7900,11260,19160,0,2,240,6979,8167,1188
1,54,7067,0,7067,12093,19160,0,2,240,6284,7603,1319
1,55,7194,0,7194,11965,19159,0,2,240,6427,7863,1436
1,56,7626,0,7626,11535,19161,0,2,240,6757,8209,1452
1,57,7473,0,7473,11686,19159,0,2,240,6634,7664,1030
1,58,7465,0,7465,11694,19159,0,2,240,6621,7907,1286
1,59,7784,0,7784,11376,19160,0,2,240,6913,8252,1339
1,60,7597,0,7597,11563,19160,0,2,240,6745,7667,922
1,61,6866,0,6866,12293,19159,0,2,240,7258,9342,2084
1,62,7208,0,7208,11952,19160,0,2,240,6510,8306,1796
1,63,8271,0,8271,10889,19160,0,2,240,7107,7905,798
1,64,7458,0,7458,11702,19160,0,2,240,6613,7967,1354
1,65,7778,0,7778,11381,19159,0,2,240,6947,8342,1395
1,66,7454,0,7454,11706,19160,0,2,240,6631,7760,1129
1,67,7458,0,7458,11702,19160,0,2,240,6626,8039,1413
1,68,7466,0,7466,11693,19159,0,2,240,6669,8396,1727
1,69,7458,0,7458,11702,19160,0,2,240,6668,7780,1112
1,70,7775,0,7775,11384,19159,0,2,240,6944,8087,1143
1,71,7780,0,7780,11380,19160,0,2,240,6972,8435,1463
1,72,7484,0,7484,11676,19160,0,2,240,6679,7823,1144
1,73,7700,0,7700,11459,19159,0,2,240,6844,8132,1288
1,74,7746,0,7746,11414,19160,0,2,240,6873,8476,1603
1,75,7730,0,7730,11429,19159,0,2,240,6878,7890,1012
1,76,7736,0,7736,11424,19160,0,2,240,6888,8174,1286
1,77,8062,0,8062,11098,19160,0,2,240,7159,8525,1366
1,78,7728,0,7728,11432,19160,0,2,240,6928,7939,1011
1,79,7797,0,7797,11363,19160,0,2,240,6899,8224,1325
