source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
255,0,15397,5566,9830,7,15404,0,6,924,0,0,0
255,1,20124,10062,10061,7,20131,0,8,924,0,0,0
255,2,18515,11442,7072,7,18522,0,8,924,0,0,0
255,3,18864,11906,6957,7,18871,0,8,924,0,0,0
255,4,18575,12011,6563,7,18582,0,8,924,0,0,0
255,5,18776,11865,6911,7,18783,0,8,924,0,0,0
255,6,19021,11997,7023,7,19028,0,8,924,0,0,0
255,7,19089,12152,6936,7,19096,0,8,924,0,0,0
255,8,18886,12036,6849,7,18893,0,8,924,0,0,0
255,9,18348,11721,6627,7,18355,0,8,924,0,0,0
255,10,18789,11831,6957,7,18796,0,8,924,0,0,0
255,11,18707,11865,6841,7,18714,0,6,924,0,0,0
255,12,17651,10467,7183,7,17658,0,8,924,0,0,0
255,13,18456,11899,6556,7,18463,0,8,924,0,0,0
255,14,18316,11755,6561,7,18323,0,8,924,0,0,0
255,15,18216,11657,6558,7,18223,0,8,924,0,0,0
255,16,18892,11821,7070,7,18899,0,8,924,0,0,0
255,17,18823,11797,7025,7,18830,0,6,924,0,0,0
255,18,17690,10359,7331,7,17697,0,8,924,0,0,0
255,19,18804,11638,7166,7,18811,0,8,924,0,0,0
255,20,19110,11664,7445,7,19117,0,8,924,0,0,0
255,21,19019,11553,7465,7,19026,0,8,924,0,0,0
255,22,19427,11695,7731,7,19434,0,8,924,0,0,0
255,23,19484,11667,7816,7,19491,0,8,924,0,0,0
255,24,18873,11532,7340,7,18880,0,8,924,0,0,0
255,25,18847,11702,7144,6,18853,0,8,924,0,0,0
255,26,19458,11976,7481,7,19465,0,8,924,0,0,0
255,27,19403,12106,7297,7,19410,0,8,924,0,0,0
255,28,18818,11857,6961,7,18825,0,8,924,0,0,0
255,29,18704,11464,7240,7,18711,0,8,924,0,0,0
255,30,18889,11429,7459,7,18896,0,8,924,0,0,0
255,31,19319,11840,7479,7,19326,0,8,924,0,0,0
255,32,19206,11842,7363,7,19213,0,8,924,0,0,0
255,33,19147,11783,7363,7,19154,0,8,924,0,0,0
255,34,19536,11949,7586,7,19543,0,8,924,0,0,0
255,35,22049,11464,10584,7,22056,0,10,924,0,0,0
255,36,24347,13154,11192,7,24354,0,10,924,0,0,0
255,37,26518,13384,13133,7,26525,0,10,924,0,0,0
255,38,24484,13397,11086,7,24491,0,10,924,0,0,0
255,39,25126,13442,11684,7,25133,0,12,924,0,0,0
255,40,26235,14988,11246,7,26242,0,10,924,0,0,0
255,41,22968,13255,9712,7,22975,0,10,924,0,0,0
255,42,24573,13302,11270,7,24580,0,10,924,0,0,0
255,43,26419,13231,13187,7,26426,0,12,924,0,0,0
255,44,25139,14238,10900,7,25146,0,10,924,0,0,0
255,45,22029,12722,9306,7,22036,0,10,924,0,0,0
255,46,21729,12639,9089,7,21736,0,8,924,0,0,0
255,47,22477,11174,11302,7,22484,0,10,924,0,0,0
255,48,25009,12629,12379,7,25016,0,10,924,0,0,0
255,49,22145,12671,9473,7,22152,0,10,924,0,0,0
255,50,21836,12733,9102,7,21843,0,8,924,0,0,0
255,51,20905,11066,9838,7,20912,0,10,924,0,0,0
255,52,22754,12496,10257,6,22760,0,8,924,0,0,0
255,53,24222,11064,13157,7,24229,0,10,924,0,0,0
255,54,23322,12328,10993,7,23329,0,10,924,0,0,0
255,55,21928,12249,9678,7,21935,0,10,924,0,0,0
255,56,22974,12381,10592,7,22981,0,10,924,0,0,0
255,57,21002,12330,8671,7,21009,0,8,924,0,0,0
255,58,17056,10880,6176,7,17063,0,8,924,0,0,0
255,59,17948,10916,7031,7,17955,0,6,924,0,0,0
255,60,17343,9430,7912,7,17350,0,8,924,0,0,0
255,61,16606,10473,6132,6,16612,0,6,924,0,0,0
255,62,15371,8806,6564,7,15378,0,8,924,0,0,0
255,63,16060,10237,5822,7,16067,0,6,924,0,0,0
255,64,15681,8926,6754,7,15688,0,6,924,0,0,0
255,65,14458,9041,5416,7,14465,0,6,924,0,0,0
255,66,15222,9262,5959,7,15229,0,6,924,0,0,0
255,67,15291,8966,6324,7,15298,0,8,924,0,0,0
255,68,18275,10365,7909,7,18282,0,6,924,0,0,0
255,69,15661,8963,6697,7,15668,0,8,924,0,0,0
255,70,15807,10442,5364,7,15814,0,6,924,0,0,0
255,71,13673,8662,5010,7,13680,0,6,924,0,0,0
255,72,13903,8607,5296,7,13910,0,6,924,0,0,0
255,73,13742,8519,5222,7,13749,0,6,924,0,0,0
255,74,13683,8380,5302,7,13690,0,6,924,0,0,0
255,75,13779,8522,5256,7,13786,0,4,924,0,0,0
255,76,12300,7149,5150,7,12307,0,6,924,0,0,0
255,77,13509,8591,4917,7,13516,0,6,924,0,0,0
255,78,13977,8797,5179,7,13984,0,6,924,0,0,0
255,79,13471,8635,4835,7,13478,0,6,924,0,0,0
255,80,13367,8509,4857,7,13374,0,4,924,0,0,0
255,81,11835,7002,4833,7,11842,0,6,924,0,0,0
255,82,13337,8481,4855,7,13344,0,6,924,0,0,0
255,83,14096,8913,5182,7,14103,0,6,924,0,0,0
255,84,13915,8821,5093,7,13922,0,4,924,0,0,0
255,85,12666,7445,5220,7,12673,0,6,924,0,0,0
255,86,14177,8956,5221,7,14184,0,6,924,0,0,0
255,87,13966,8854,5112,7,13973,0,6,924,0,0,0
255,88,14393,9059,5334,7,14400,0,6,924,0,0,0
255,89,14300,8985,5314,7,14307,0,6,924,0,0,0
255,90,13780,8805,4974,7,13787,0,6,924,0,0,0
255,91,13963,8874,5088,7,13970,0,6,924,0,0,0
255,92,13965,8875,5089,7,13972,0,6,924,0,0,0
255,93,13811,8836,4974,7,13818,0,6,924,0,0,0
255,94,14179,8881,5297,7,14186,0,6,924,0,0,0
255,95,14225,8907,5317,7,14232,0,6,924,0,0,0
255,96,13998,8657,5340,7,14005,0,4,924,0,0,0
255,97,13427,7356,6071,7,13434,0,6,924,0,0,0
255,98,14954,8891,6062,7,14961,0,6,924,0,0,0
255,99,14785,8846,5938,7,14792,0,6,924,0,0,0
255,100,14122,8878,5243,7,14129,0,6,924,0,0,0
255,101,15514,8943,6570,7,15521,0,8,924,0,0,0
255,102,19121,10635,8485,7,19128,0,8,924,0,0,0
255,103,17466,10486,6979,6,17472,0,6,924,0,0,0
255,104,17068,8991,8076,7,17075,0,8,924,0,0,0
255,105,19664,10294,9369,7,19671,0,8,924,0,0,0
255,106,20906,10452,10453,7,20913,0,8,924,0,0,0
255,107,22442,10429,12012,7,22449,0,10,924,0,0,0
255,108,19530,11923,7606,7,19537,0,8,924,0,0,0
255,109,21675,10492,11182,7,21682,0,10,924,0,0,0
255,110,21770,11729,10041,7,21777,0,8,924,0,0,0
255,111,20591,10261,10330,7,20598,0,10,924,0,0,0
255,112,20952,11542,9409,7,20959,0,8,924,0,0,0
255,113,20618,10115,10503,7,20625,0,8,924,0,0,0
255,114,20142,10295,9846,7,20149,0,8,924,0,0,0
255,115,21427,10294,11132,7,21434,0,10,924,0,0,0
255,116,21786,11539,10246,7,21793,0,8,924,0,0,0
255,117,21505,10234,11270,7,21512,0,10,924,0,0,0
255,118,24514,11767,12746,7,24521,0,10,924,0,0,0
255,119,24753,11654,13098,7,24760,0,10,924,0,0,0
