source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
1,0,61784,22266,39399,28,61812,0,6,930,97695,97730,35
1,1,65535,40064,25471,0,65535,1,8,930,91386,91420,34
1,2,65535,45769,19766,0,65535,1,8,930,66421,66454,33
1,3,65535,48185,17350,0,65535,1,8,930,66455,66485,30
1,4,65535,48233,17302,0,65535,1,8,930,66428,66454,26
1,5,65535,47462,18073,0,65535,1,8,930,66463,66497,34
1,6,65535,47989,17546,0,65535,1,8,930,70622,70654,32
1,7,65535,48611,16924,0,65535,1,8,930,66450,66482,32
1,8,65535,48144,17391,0,65535,1,8,930,66447,66475,28
1,9,65535,46884,18651,0,65535,1,8,930,58137,58172,35
1,10,65535,47327,18208,0,65535,1,8,930,66457,66487,30
1,11,65535,47460,18075,0,65535,1,8,930,66451,66482,31
1,12,65535,47868,17667,0,65535,1,6,930,66446,66474,28
1,13,65535,41786,23749,0,65535,1,8,930,66452,66483,31
1,14,65535,47022,18513,0,65535,1,8,930,66461,66492,31
1,15,65535,46631,18904,0,65535,1,8,930,70607,70642,35
1,16,65535,46439,19096,0,65535,1,8,930,70707,70736,29
1,17,65535,46257,19278,0,65535,1,8,930,70748,70778,30
1,18,65535,46516,19019,0,65535,1,8,930,70715,70746,31
1,19,65535,45679,19856,0,65535,1,8,930,70741,70771,30
1,20,65535,46300,19235,0,65535,1,8,930,70748,70780,32
1,21,65535,46512,19023,0,65535,1,8,930,79044,79072,28
1,22,65535,46586,18949,0,65535,1,8,930,79066,79097,31
1,23,65535,47242,18293,0,65535,1,8,930,79070,79103,33
1,24,65535,47824,17711,0,65535,1,8,930,79063,79094,31
1,25,65535,48172,17363,0,65535,1,8,930,79084,79112,28
1,26,65535,47998,17537,0,65535,1,8,930,83214,83242,28
1,27,65535,46625,18910,0,65535,1,8,930,74919,74947,28
1,28,65535,46059,19476,0,65535,1,8,930,83253,83286,33
1,29,65535,46092,19443,0,65535,1,8,930,83225,83259,34
1,30,65535,47403,18132,0,65535,1,8,930,83229,83258,29
1,31,65535,47425,18110,0,65535,1,8,930,83230,83260,30
1,32,65535,47664,17871,0,65535,1,10,930,83252,83280,28
1,33,65535,53611,11924,0,65535,1,10,930,83220,83250,30
1,34,65535,53171,12364,0,65535,1,10,930,83232,83260,28
1,35,65535,53578,11957,0,65535,1,10,930,87396,87428,32
1,36,65535,53406,12129,0,65535,1,10,930,83230,83259,29
1,37,65535,53606,11929,0,65535,1,10,930,87427,87457,30
1,38,65535,54172,11363,0,65535,1,10,930,91553,91584,31
1,39,65535,53631,11904,0,65535,1,10,930,83242,83273,31
1,40,65535,52697,12838,0,65535,1,8,930,83218,83251,33
1,41,65535,46283,19252,0,65535,1,10,930,87372,87402,30
1,42,65535,51255,14280,0,65535,1,10,930,79080,79112,32
1,43,65535,50154,15381,0,65535,1,10,930,79027,79056,29
1,44,65535,50444,15091,0,65535,1,10,930,79057,79085,28
1,45,65535,50315,15220,0,65535,1,10,930,83214,83239,25
1,46,65535,50394,15141,0,65535,1,10,930,79090,79128,38
1,47,65535,50743,14792,0,65535,1,10,930,83212,83243,31
1,48,65535,51286,14249,0,65535,1,10,930,91555,91757,202
1,49,65535,51068,14467,0,65535,1,10,930,78892,78922,30
1,50,65535,50333,15202,0,65535,1,8,930,79055,79084,29
1,51,65535,44004,21531,0,65535,1,10,930,79076,79108,32
1,52,65535,49849,15686,0,65535,1,10,930,83239,83272,33
1,53,65535,49869,15666,0,65535,1,10,930,74867,74895,28
1,54,65535,49956,15579,0,65535,1,10,930,79100,79130,30
1,55,65535,48730,16805,0,65535,1,8,930,70717,70747,30
1,56,65535,42872,22663,0,65535,1,10,930,58241,58268,27
1,57,65535,49329,16206,0,65535,1,8,930,66576,66606,30
1,58,65535,43332,22203,0,65535,1,8,930,62374,62402,28
1,59,65535,43928,21607,0,65535,1,8,930,66579,66614,35
1,60,65535,42081,23454,0,65535,1,6,930,62381,62407,26
1,61,61556,36161,25276,28,61584,0,6,930,62404,62435,31
1,62,65535,35144,30391,0,65535,1,8,930,54068,54094,26
1,63,62904,40771,22014,28,62932,0,6,930,54061,54092,31
1,64,62407,35297,26991,27,62434,0,6,930,49906,49937,31
1,65,65535,36599,28936,0,65535,1,8,930,54067,54097,30
1,66,65017,42420,22478,28,65045,0,6,930,54058,54083,25
1,67,59794,36764,22911,28,59822,0,6,930,54074,54104,30
1,68,60389,35703,24567,28,60417,0,6,930,49893,49922,29
1,69,64256,35697,28440,28,64284,0,8,930,54049,54084,35
1,70,63179,41483,21577,28,63207,0,6,930,49886,49915,29
1,71,55875,35172,20584,28,55903,0,6,930,45721,45746,25
1,72,55547,35277,20151,28,55575,0,6,930,41573,41599,26
1,73,55157,34098,20940,28,55185,0,6,930,41548,41574,26
1,74,55957,34663,21175,28,55985,0,6,930,45750,45780,30
1,75,55184,34017,21048,28,55212,0,6,930,41560,41586,26
1,76,54221,33792,20310,28,54249,0,4,930,41569,41597,28
