source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
0,0,328,1,246,17887,18215,0,2,240,561,14964,14403
0,1,328,1,246,18789,19117,0,2,240,580,16257,15677
0,2,328,1,246,18790,19118,0,2,240,487,15691,15204
0,3,328,1,246,18790,19118,0,2,240,498,15856,15358
0,4,328,1,246,18790,19118,0,2,240,554,16324,15770
0,5,328,1,246,18790,19118,0,2,240,527,15697,15170
0,6,328,1,246,18790,19118,0,2,240,497,15962,15465
0,7,328,1,246,18789,19117,0,2,240,559,16410,15851
0,8,328,1,246,18790,19118,0,2,240,491,15745,15254
0,9,328,1,246,18790,19118,0,2,240,613,16144,15531
0,10,328,1,246,18790,19118,0,2,240,555,16506,15951
0,11,328,1,246,18790,19118,0,2,240,491,15825,15334
0,12,328,1,246,18790,19118,0,2,240,572,16230,15658
0,13,328,1,246,18789,19117,0,2,240,515,15690,15175
0,14,328,1,246,18790,19118,0,2,240,500,15877,15377
0,15,328,1,246,18790,19118,0,2,240,556,16326,15770
0,16,328,1,246,18790,19118,0,2,240,501,15704,15203
0,17,328,1,246,18790,19118,0,2,240,504,15947,15443
0,18,328,1,246,18790,19118,0,2,240,564,16431,15867
0,19,328,1,246,18790,19118,0,2,240,493,15762,15269
0,20,328,1,246,18789,19117,0,2,240,575,16151,15576
0,21,328,1,246,18790,19118,0,2,240,569,15633,15064
0,22,328,1,246,18790,19118,0,2,240,490,15822,15332
0,23,328,1,246,18790,19118,0,2,240,559,16263,15704
0,24,328,1,246,18790,19118,0,2,240,482,15690,15208
0,25,328,1,246,18790,19118,0,2,240,497,15916,15419
0,26,328,1,246,18789,19117,0,2,240,567,16340,15773
0,27,328,1,246,18790,19118,0,2,240,491,15683,15192
0,28,328,1,246,18790,19118,0,2,240,575,16083,15508
0,29,328,1,246,18790,19118,0,2,240,566,16438,15872
0,30,328,1,246,18790,19118,0,2,240,495,15784,15289
0,31,328,1,246,18790,19118,0,2,240,571,16170,15599
0,32,328,1,246,18789,19117,0,2,240,591,15623,15032
0,33,328,1,246,18790,19118,0,2,240,492,15846,15354
0,34,328,1,246,18790,19118,0,2,240,563,16274,15711
0,35,328,1,246,18790,19118,0,2,240,492,15691,15199
0,36,328,1,246,18790,19118,0,2,240,537,15934,15397
0,37,328,1,246,18790,19118,0,2,240,566,16357,15791
0,38,328,1,246,18789,19117,0,2,240,491,15701,15210
0,39,328,1,246,18790,19118,0,2,240,577,16089,15512
0,40,328,1,246,18790,19118,0,2,240,597,16448,15851
0,41,328,1,246,18790,19118,0,2,240,496,15786,15290
0,42,328,1,246,18790,19118,0,2,240,577,16192,15615
0,43,328,1,246,18790,19118,0,2,240,556,15654,15098
0,44,328,1,246,18790,19118,0,2,240,535,15828,15293
0,45,328,1,246,18789,19117,0,2,240,561,16281,15720
0,46,328,1,246,18790,19118,0,2,240,487,15677,15190
0,47,328,1,246,18790,19118,0,2,240,500,15941,15441
0,48,328,1,246,18790,19118,0,2,240,565,16352,15787
0,49,328,1,246,18790,19118,0,2,240,502,15744,15242
0,50,328,1,246,18790,19118,0,2,240,594,16107,15513
0,51,328,1,246,18789,19117,0,2,240,571,16467,15896
0,52,328,1,246,18790,19118,0,2,240,509,15772,15263
0,53,328,1,246,18790,19118,0,2,240,585,16204,15619
0,54,328,1,246,18790,19118,0,2,240,569,15661,15092
0,55,328,1,246,18790,19118,0,2,240,497,15844,15347
0,56,328,1,246,18790,19118,0,2,240,556,16304,15748
0,57,328,1,246,18789,19117,0,2,240,480,15680,15200
0,58,328,1,246,18790,19118,0,2,240,499,15963,15464
0,59,328,1,246,18790,19118,0,2,240,558,16389,15831
0,60,328,1,246,18790,19118,0,2,240,492,15742,15250
0,61,328,1,246,18790,19118,0,2,240,572,16130,15558
0,62,328,1,246,18790,19118,0,2,240,557,16480,15923
0,63,328,1,246,18790,19118,0,2,240,532,15824,15292
0,64,328,1,246,18789,19117,0,2,240,574,16216,15642
0,65,328,1,246,18790,19118,0,2,240,486,15682,15196
0,66,328,1,246,18790,19118,0,2,240,496,15858,15362
0,67,328,1,246,18790,19118,0,2,240,599,16325,15726
0,68,328,1,246,18790,19118,0,2,240,497,15697,15200
0,69,328,1,246,18790,19118,0,2,240,500,15977,15477
0,70,328,1,246,18789,19117,0,2,240,567,16405,15838
0,71,328,1,246,18790,19118,0,2,240,527,15745,15218
0,72,328,1,246,18790,19118,0,2,240,572,16137,15565
0,73,328,1,246,18790,19118,0,2,240,558,16514,15956
0,74,328,1,246,18790,19118,0,2,240,488,15824,15336
0,75,328,1,246,18790,19118,0,2,240,607,16233,15626
0,76,328,1,246,18789,19117,0,2,240,482,15690,15208
0,77,328,1,246,18790,19118,0,2,240,499,15881,15382
0,78,328,1,246,18790,19118,0,2,240,559,16325,15766
0,79,328,1,246,18790,19118,0,2,240,504,15703,15199
0,80,328,1,246,18790,19118,0,2,240,503,15996,15493
0,81,328,1,246,18790,19118,0,2,240,572,16431,15859
0,82,328,1,246,18789,19117,0,2,240,492,15762,15270
0,83,328,1,246,18790,19118,0,2,240,595,16156,15561
0,84,328,1,246,18790,19118,0,2,240,555,15617,15062
