source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
255,0,12809,3952,8853,16781,29590,0,4,282,0,0,0
255,1,12716,4087,8624,6397,19113,0,2,282,0,0,0
255,2,12716,4087,8624,6397,19113,0,2,282,0,0,0
255,3,12716,4087,8624,6397,19113,0,2,282,0,0,0
255,4,12657,4087,8565,6456,19113,0,2,282,0,0,0
255,5,12584,4087,8493,6529,19113,0,2,282,0,0,0
255,6,12425,3927,8493,6688,19113,0,2,282,0,0,0
255,7,12425,3927,8493,6688,19113,0,2,282,0,0,0
255,8,12425,3927,8493,6688,19113,0,2,282,0,0,0
255,9,12586,3927,8655,6527,19113,0,2,282,0,0,0
255,10,12556,3927,8625,6557,19113,0,2,282,0,0,0
255,11,12556,3927,8625,6557,19113,0,2,282,0,0,0
255,12,16347,7353,8989,2766,19113,0,2,282,0,0,0
255,13,16342,6329,10009,2771,19113,0,2,282,0,0,0
255,14,12909,3946,8959,6204,19113,0,2,282,0,0,0
255,15,12839,3948,8887,6274,19113,0,2,282,0,0,0
255,16,12837,3946,8887,6276,19113,0,2,282,0,0,0
255,17,12837,3946,8887,6276,19113,0,2,282,0,0,0
255,18,12837,3946,8887,6276,19113,0,2,282,0,0,0
255,19,21091,8447,12639,17185,38276,0,4,282,0,0,0
255,20,11005,614,10387,8108,19113,0,2,282,0,0,0
255,21,10968,614,10349,8145,19113,0,2,282,0,0,0
255,22,10968,614,10349,8145,19113,0,2,282,0,0,0
255,23,11052,624,10424,8061,19113,0,2,282,0,0,0
255,24,14551,4025,10522,4562,19113,0,2,282,0,0,0
255,25,14538,4166,10368,4575,19113,0,2,282,0,0,0
255,26,14479,4166,10309,4634,19113,0,2,282,0,0,0
255,27,14484,4169,10311,4629,19113,0,2,282,0,0,0
255,28,14438,4160,10273,4675,19113,0,2,282,0,0,0
255,29,14562,4160,10397,4551,19113,0,2,282,0,0,0
255,30,14368,3995,10368,4745,19113,0,2,282,0,0,0
255,31,14451,4005,10442,4662,19113,0,2,282,0,0,0
255,32,14405,3995,10405,4708,19113,0,2,282,0,0,0
255,33,14498,3995,10498,4615,19113,0,2,282,0,0,0
255,34,14190,3995,10191,4923,19113,0,2,282,0,0,0
255,35,13925,3991,9930,5188,19113,0,2,282,0,0,0
255,36,17542,7484,10054,1571,19113,0,2,282,0,0,0
255,37,17541,7624,9913,1572,19113,0,2,282,0,0,0
255,38,31065,9250,21811,7211,38276,0,4,282,0,0,0
255,39,17465,7555,9905,1648,19113,0,2,282,0,0,0
255,40,17347,7543,9800,1766,19113,0,2,282,0,0,0
255,41,17191,7537,9650,1921,19112,0,2,282,0,0,0
255,42,16889,7366,9519,2224,19113,0,2,282,0,0,0
255,43,16777,7363,9409,2336,19113,0,2,282,0,0,0
255,44,16752,7360,9387,2361,19113,0,2,282,0,0,0
255,45,16490,7360,9126,2623,19113,0,2,282,0,0,0
255,46,16483,7354,9124,2630,19113,0,2,282,0,0,0
255,47,16369,7350,9014,2744,19113,0,2,282,0,0,0
255,48,20252,10895,9353,18024,38276,0,4,282,0,0,0
255,49,20667,11435,9228,17609,38276,0,4,282,0,0,0
255,50,22450,11778,10668,15826,38276,0,4,282,0,0,0
255,51,16736,7363,9369,2377,19113,0,2,282,0,0,0
255,52,16595,7354,9237,2518,19113,0,2,282,0,0,0
255,53,16387,7348,9034,2726,19113,0,2,282,0,0,0
255,54,16458,7348,9105,2655,19113,0,2,282,0,0,0
255,55,16257,7350,8903,2856,19113,0,2,282,0,0,0
255,56,16255,7348,8903,2858,19113,0,2,282,0,0,0
255,57,16385,7348,9033,2728,19113,0,2,282,0,0,0
255,58,16385,7348,9033,2728,19113,0,2,282,0,0,0
255,59,16419,7350,9064,2694,19113,0,2,282,0,0,0
255,60,20237,10858,9374,18039,38276,0,4,282,0,0,0
255,61,20206,11002,9199,18070,38276,0,4,282,0,0,0
255,62,20206,11002,9199,18070,38276,0,4,282,0,0,0
255,63,20260,11004,9252,18016,38276,0,4,282,0,0,0
255,64,20673,11347,9321,17603,38276,0,4,282,0,0,0
255,65,20206,11063,9139,18070,38276,0,4,282,0,0,0
255,66,18078,9211,8863,1035,19113,0,2,282,0,0,0
255,67,16407,7501,8902,2706,19113,0,2,282,0,0,0
255,68,16407,7500,8902,2706,19113,0,2,282,0,0,0
255,69,16568,7500,9063,2545,19113,0,2,282,0,0,0
255,70,16427,7500,8922,2686,19113,0,2,282,0,0,0
255,71,16539,7501,9033,2574,19113,0,2,282,0,0,0
255,72,20353,10976,9372,17924,38277,0,4,282,0,0,0
255,73,20668,11525,9139,17608,38276,0,4,282,0,0,0
255,74,22005,11878,10123,16271,38276,0,4,282,0,0,0
255,75,16684,7514,9165,2429,19113,0,2,282,0,0,0
255,76,16719,7512,9202,2394,19113,0,2,282,0,0,0
255,77,31327,9214,22108,6950,38277,0,4,282,0,0,0
255,78,14949,5820,9124,4164,19113,0,2,282,0,0,0
255,79,13275,4095,9176,5838,19113,0,2,282,0,0,0
255,80,13281,4093,9183,5832,19113,0,2,282,0,0,0
255,81,13262,4093,9164,5851,19113,0,2,282,0,0,0
255,82,13281,4093,9183,5832,19113,0,2,282,0,0,0
255,83,13245,4095,9146,5868,19113,0,2,282,0,0,0
255,84,17026,7572,9449,2087,19113,0,2,282,0,0,0
255,85,16901,7713,9184,2212,19113,0,2,282,0,0,0
255,86,16920,7713,9202,2193,19113,0,2,282,0,0,0
