source,frame,submitted_us,completed_us,drain_us,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks
255,0,0,0,0,17569,0,17569,671,18240,0,2,240
255,1,0,0,0,9825,0,9825,9316,19141,0,2,240
255,2,0,0,0,3611,0,3611,15530,19141,0,2,240
255,3,0,0,0,3421,0,3421,15719,19140,0,2,240
255,4,0,0,0,3473,0,3473,15668,19141,0,2,240
255,5,0,0,0,3602,0,3602,15539,19141,0,2,240
255,6,0,0,0,3478,0,3478,15662,19140,0,2,240
255,7,0,0,0,3765,0,3765,15376,19141,0,2,240
255,8,0,0,0,3650,0,3650,15491,19141,0,2,240
255,9,0,0,0,3648,0,3648,15492,19140,0,2,240
255,10,0,0,0,3643,0,3643,15497,19140,0,2,240
255,11,0,0,0,3847,0,3847,15294,19141,0,2,240
255,12,0,0,0,3638,0,3638,15503,19141,0,2,240
255,13,0,0,0,3647,0,3647,15494,19141,0,2,240
255,14,0,0,0,3988,0,3988,15152,19140,0,2,240
255,15,0,0,0,3854,0,3854,15287,19141,0,2,240
255,16,0,0,0,3882,0,3882,15258,19140,0,2,240
255,17,0,0,0,3992,0,3992,15149,19141,0,2,240
255,18,0,0,0,3875,0,3875,15265,19140,0,2,240
255,19,0,0,0,3797,0,3797,15344,19141,0,2,240
255,20,0,0,0,3860,0,3860,15281,19141,0,2,240
255,21,0,0,0,4173,0,4173,14968,19141,0,2,240
255,22,0,0,0,4058,0,4058,15083,19141,0,2,240
255,23,0,0,0,4259,0,4259,14882,19141,0,2,240
255,24,0,0,0,4039,0,4039,15102,19141,0,2,240
255,25,0,0,0,4053,0,4053,15087,19140,0,2,240
255,26,0,0,0,4055,0,4055,15086,19141,0,2,240
255,27,0,0,0,4064,0,4064,15077,19141,0,2,240
255,28,0,0,0,4264,0,4264,14876,19140,0,2,240
255,29,0,0,0,4244,0,4244,14897,19141,0,2,240
255,30,0,0,0,4045,0,4045,15095,19140,0,2,240
255,31,0,0,0,4130,0,4130,15011,19141,0,2,240
255,32,0,0,0,4048,0,4048,15093,19141,0,2,240
255,33,0,0,0,4054,0,4054,15086,19140,0,2,240
255,34,0,0,0,4034,0,4034,15107,19141,0,2,240
255,35,0,0,0,4243,0,4243,14898,19141,0,2,240
255,36,0,0,0,4028,0,4028,15113,19141,0,2,240
255,37,0,0,0,4059,0,4059,15082,19141,0,2,240
255,38,0,0,0,4070,0,4070,15070,19140,0,2,240
255,39,0,0,0,4125,0,4125,15016,19141,0,2,240
255,40,0,0,0,3809,0,3809,15331,19140,0,2,240
255,41,0,0,0,4076,0,4076,15065,19141,0,2,240
255,42,0,0,0,6048,0,6048,13093,19141,0,2,240
255,43,0,0,0,4065,0,4065,15075,19140,0,2,240
255,44,0,0,0,4029,0,4029,15112,19141,0,2,240
255,45,0,0,0,4038,0,4038,15103,19141,0,2,240
255,46,0,0,0,4109,0,4109,15032,19141,0,2,240
255,47,0,0,0,4122,0,4122,15018,19140,0,2,240
255,48,0,0,0,4652,0,4652,14489,19141,0,2,240
255,49,0,0,0,6167,0,6167,12974,19141,0,2,240
255,50,0,0,0,6064,0,6064,13076,19140,0,2,240
255,51,0,0,0,4820,0,4820,14321,19141,0,2,240
255,52,0,0,0,4810,0,4810,14331,19141,0,2,240
255,53,0,0,0,6242,0,6242,12899,19141,0,2,240
255,54,0,0,0,4572,0,4572,14569,19141,0,2,240
255,55,0,0,0,4633,0,4633,14507,19140,0,2,240
255,56,0,0,0,6203,0,6203,12938,19141,0,2,240
255,57,0,0,0,4809,0,4809,14331,19140,0,2,240
255,58,0,0,0,4806,0,4806,14335,19141,0,2,240
255,59,0,0,0,5035,0,5035,14106,19141,0,2,240
255,60,0,0,0,4878,0,4878,14262,19140,0,2,240
255,61,0,0,0,4559,0,4559,14582,19141,0,2,240
255,62,0,0,0,4633,0,4633,14508,19141,0,2,240
255,63,0,0,0,6351,0,6351,12801,19152,0,2,240
255,64,0,0,0,4894,0,4894,14196,19090,0,2,240
255,65,0,0,0,5040,0,5040,14100,19140,0,2,240
255,66,0,0,0,4803,0,4803,14338,19141,0,2,240
255,67,0,0,0,4849,0,4849,14292,19141,0,2,240
255,68,0,0,0,6089,0,6089,13051,19140,0,2,240
255,69,0,0,0,4820,0,4820,14321,19141,0,2,240
255,70,0,0,0,6288,0,6288,12853,19141,0,2,240
255,71,0,0,0,6033,0,6033,13107,19140,0,2,240
255,72,0,0,0,4828,0,4828,14312,19140,0,2,240
255,73,0,0,0,4953,0,4953,14188,19141,0,2,240
255,74,0,0,0,5011,0,5011,14129,19140,0,2,240
255,75,0,0,0,7644,0,7644,11497,19141,0,2,240
255,76,0,0,0,7666,0,7666,11475,19141,0,2,240
255,77,0,0,0,5181,0,5181,13960,19141,0,2,240
255,78,0,0,0,5117,0,5117,14024,19141,0,2,240
255,79,0,0,0,5088,0,5088,14052,19140,0,2,240
255,80,0,0,0,8600,0,8600,10541,19141,0,2,240
255,81,0,0,0,5115,0,5115,14026,19141,0,2,240
255,82,0,0,0,4960,0,4960,14181,19141,0,2,240
255,83,0,0,0,6465,0,6465,12676,19141,0,2,240
255,84,0,0,0,5249,0,5249,13891,19140,0,2,240
255,85,0,0,0,5070,0,5070,14071,19141,0,2,240
255,86,0,0,0,4970,0,4970,14171,19141,0,2,240
255,87,0,0,0,5102,0,5102,14038,19140,0,2,240
255,88,0,0,0,12370,0,12370,6770,19140,0,2,240
255,89,0,0,0,10153,0,10153,8988,19141,0,2,240
255,90,0,0,0,12777,0,12777,6364,19141,0,2,240
255,91,0,0,0,6513,0,6513,12628,19141,0,2,240
255,92,0,0,0,5102,0,5102,14001,19103,0,2,240
255,93,0,0,0,11386,0,11386,7754,19140,0,2,240
255,94,0,0,0,4973,0,4973,14168,19141,0,2,240
255,95,0,0,0,5309,0,5309,13832,19141,0,2,240
255,96,0,0,0,13403,0,13403,5738,19141,0,2,240
255,97,0,0,0,7438,0,7438,11702,19140,0,2,240
255,98,0,0,0,6447,0,6447,12694,19141,0,2,240
255,99,0,0,0,9160,0,9160,9981,19141,0,2,240
255,100,0,0,0,6073,0,6073,13067,19140,0,2,240
255,101,0,0,0,7013,0,7013,12128,19141,0,2,240
255,102,0,0,0,5180,0,5180,13961,19141,0,2,240
255,103,0,0,0,13017,0,13017,6123,19140,0,2,240
255,104,0,0,0,11019,0,11019,8122,19141,0,2,240
255,105,0,0,0,5091,0,5091,14064,19155,0,2,240
255,106,0,0,0,5056,0,5056,14070,19126,0,2,240
255,107,0,0,0,7531,0,7531,11610,19141,0,2,240
255,108,0,0,0,11192,0,11192,7949,19141,0,2,240
255,109,0,0,0,7774,0,7774,11367,19141,0,2,240
255,110,0,0,0,6652,0,6652,12488,19140,0,2,240
255,111,0,0,0,7338,0,7338,11803,19141,0,2,240
255,112,0,0,0,5203,0,5203,13938,19141,0,2,240
255,113,0,0,0,12772,0,12772,6369,19141,0,2,240
255,114,0,0,0,13114,0,13114,6026,19140,0,2,240
255,115,0,0,0,6705,0,6705,12436,19141,0,2,240
255,116,0,0,0,12947,0,12947,6194,19141,0,2,240
255,117,0,0,0,9657,0,9657,9484,19141,0,2,240
255,118,0,0,0,15440,0,15440,3700,19140,0,2,240
255,119,0,0,0,18566,0,18566,575,19141,0,2,240
