source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
0,0,29361,0,29361,13304,42665,0,6,244,9116,18058,8942
0,1,3308,0,3308,15868,19176,0,2,244,7408,15793,8385
0,2,3517,0,3517,15659,19176,0,2,244,7225,16482,9257
0,3,3442,0,3442,15733,19175,0,2,244,7121,16438,9317
0,4,3526,0,3526,15651,19177,0,2,244,7203,16566,9363
0,5,3803,0,3803,15373,19176,0,2,244,7906,16715,8809
0,6,3663,0,3663,15513,19176,0,2,244,7418,16285,8867
0,7,3685,0,3685,15491,19176,0,2,244,7703,16595,8892
0,8,3674,0,3674,15502,19176,0,2,244,7565,16464,8899
0,9,3672,0,3672,15504,19176,0,2,244,7482,16444,8962
0,10,3686,0,3686,15489,19175,0,2,244,7502,16557,9055
0,11,3882,0,3882,15295,19177,0,2,244,8078,16667,8589
0,12,4011,0,4011,15165,19176,0,2,244,8411,16494,8083
0,13,3838,0,3838,15338,19176,0,2,244,7775,16375,8600
0,14,3914,0,3914,15262,19176,0,2,244,7978,16435,8457
0,15,3962,0,3962,15214,19176,0,2,244,7731,16437,8706
0,16,3959,0,3959,15217,19176,0,2,244,7919,16583,8664
0,17,4177,0,4177,14998,19175,0,2,244,8427,16686,8259
0,18,5999,0,5999,13177,19176,0,2,244,7943,16251,8308
0,19,4175,0,4175,15001,19176,0,2,244,9197,16819,7622
0,20,4079,0,4079,15097,19176,0,2,244,8354,16263,7909
0,21,6241,0,6241,12935,19176,0,2,244,8235,16442,8207
0,22,4187,0,4187,14989,19176,0,2,244,8251,16528,8277
0,23,4368,0,4368,14808,19176,0,2,244,8943,16755,7812
0,24,6005,0,6005,13171,19176,0,2,244,8314,16232,7918
0,25,4180,0,4180,14996,19176,0,2,244,8239,16529,8290
0,26,4375,0,4375,14802,19177,0,2,244,8836,16643,7807
0,27,4094,0,4094,15082,19176,0,2,244,9171,16267,7096
0,28,8983,0,8983,10193,19176,0,2,244,8211,16596,8385
0,29,4363,0,4363,14812,19175,0,2,244,8905,16695,7790
0,30,4073,0,4073,15103,19176,0,2,244,8305,16181,7876
0,31,4265,0,4265,14911,19176,0,2,244,8364,16589,8225
0,32,4186,0,4186,14990,19176,0,2,244,8246,16496,8250
0,33,4268,0,4268,14908,19176,0,2,244,9785,16636,6851
0,34,8811,0,8811,10365,19176,0,2,244,8312,16346,8034
0,35,4369,0,4369,14807,19176,0,2,244,9015,16760,7745
0,36,4058,0,4058,15118,19176,0,2,244,8240,16184,7944
0,37,4204,0,4204,14972,19176,0,2,244,8187,16510,8323
0,38,4185,0,4185,14991,19176,0,2,244,8187,16504,8317
0,39,8618,0,8618,10558,19176,0,2,244,8342,16474,8132
0,40,7449,0,7449,11727,19176,0,2,244,8777,16799,8022
0,41,5660,0,5660,13517,19177,0,2,244,9067,16419,7352
0,42,4060,0,4060,15116,19176,0,2,244,8276,16256,7980
0,43,4202,0,4202,14974,19176,0,2,244,8263,16580,8317
0,44,4416,0,4416,14760,19176,0,2,244,8472,16420,7948
0,45,3828,0,3828,15348,19176,0,2,244,7834,16439,8605
0,46,3966,0,3966,15210,19176,0,2,244,8046,16621,8575
