source,frame,active_prt,logic_prt,submit_prt,pacing_prt,total_prt,overflow,mos_ticks,run_ticks,submitted_us,completed_us,drain_us
255,0,29061,5566,23494,7,29068,0,12,1552,0,0,0
255,1,38458,14346,24112,7,38465,0,16,1552,0,0,0
255,2,37054,17534,19519,7,37061,0,16,1552,0,0,0
255,3,37048,17464,19583,7,37055,0,16,1552,0,0,0
255,4,37115,17584,19530,7,37122,0,14,1552,0,0,0
255,5,34766,15835,18930,7,34773,0,16,1552,0,0,0
255,6,37741,17326,20415,7,37748,0,14,1552,0,0,0
255,7,33341,15825,17515,7,33348,0,14,1552,0,0,0
255,8,34464,15727,18737,7,34471,0,16,1552,0,0,0
255,9,37282,17368,19913,7,37289,0,14,1552,0,0,0
255,10,37204,15816,21387,7,37211,0,16,1552,0,0,0
255,11,40068,17475,22593,7,40075,0,18,1552,0,0,0
255,12,41835,19024,22810,7,41842,0,16,1552,0,0,0
255,13,40011,17550,22460,7,40018,0,18,1552,0,0,0
255,14,39107,18845,20261,7,39114,0,16,1552,0,0,0
255,15,39993,17312,22681,7,40000,0,16,1552,0,0,0
255,16,40143,17340,22802,7,40150,0,18,1552,0,0,0
255,17,41314,18868,22445,7,41321,0,16,1552,0,0,0
255,18,41312,17448,23863,7,41319,0,18,1552,0,0,0
255,19,42930,18864,24065,7,42937,0,18,1552,0,0,0
255,20,40409,18771,21637,7,40416,0,16,1552,0,0,0
255,21,40882,17355,23526,7,40889,0,18,1552,0,0,0
255,22,41031,18771,22259,7,41038,0,16,1552,0,0,0
255,23,39859,17088,22770,7,39866,0,18,1552,0,0,0
255,24,40837,18389,22448,7,40844,0,16,1552,0,0,0
255,25,36457,16926,19531,7,36464,0,16,1552,0,0,0
255,26,36655,16955,19699,7,36662,0,14,1552,0,0,0
255,27,37129,15509,21619,7,37136,0,16,1552,0,0,0
255,28,36685,16854,19830,7,36692,0,16,1552,0,0,0
255,29,36739,16669,20069,7,36746,0,16,1552,0,0,0
255,30,34660,16554,18105,7,34667,0,14,1552,0,0,0
255,31,32951,15074,17876,7,32958,0,14,1552,0,0,0
255,32,31792,14970,16821,7,31799,0,12,1552,0,0,0
255,33,28863,13263,15599,7,28870,0,12,1552,0,0,0
255,34,27216,13247,13968,7,27223,0,12,1552,0,0,0
255,35,26148,12993,13154,7,26155,0,10,1552,0,0,0
255,36,25995,11830,14164,7,26002,0,12,1552,0,0,0
255,37,28500,13210,15289,7,28507,0,12,1552,0,0,0
255,38,25738,13038,12699,7,25745,0,10,1552,0,0,0
255,39,23361,11324,12036,7,23368,0,10,1552,0,0,0
255,40,21872,11384,10487,7,21879,0,10,1552,0,0,0
255,41,23443,11357,12085,7,23450,0,10,1552,0,0,0
255,42,22268,11340,10928,7,22275,0,8,1552,0,0,0
255,43,22223,10077,12145,7,22230,0,10,1552,0,0,0
255,44,20626,11418,9207,7,20633,0,8,1552,0,0,0
255,45,17534,9966,7567,7,17541,0,8,1552,0,0,0
255,46,21902,9997,11904,7,21909,0,8,1552,0,0,0
255,47,22984,10116,12867,7,22991,0,10,1552,0,0,0
255,48,23402,11674,11727,7,23409,0,10,1552,0,0,0
255,49,22675,11635,11039,7,22682,0,10,1552,0,0,0
255,50,25935,11740,14194,7,25942,0,10,1552,0,0,0
255,51,24310,11528,12782,14,24324,0,10,1552,0,0,0
255,52,24653,11629,13023,7,24660,0,10,1552,0,0,0
255,53,26456,11667,14789,7,26463,0,12,1552,0,0,0
