GT1,id,submitted_us,completed_us,drain_us
GT1,0,195,16201,16006
GT1,1,120,16465,16345
GT1,2,121,15810,15689
GT1,3,122,16208,16086
GT1,4,121,16558,16437
GT1,5,121,15830,15709
GT1,6,121,16292,16171
GT1,7,133,16672,16539
GT1,8,121,15833,15712
GT1,9,121,16384,16263
GT1,10,132,15753,15621
GT1,11,196,16129,15933
GT1,12,120,16487,16367
GT1,13,121,15831,15710
GT1,14,121,16230,16109
GT1,15,122,16578,16456
GT1,16,157,15834,15677
GT1,17,124,16305,16181
GT1,18,131,15707,15576
GT1,19,128,15957,15829
GT1,20,122,16364,16242
GT1,21,134,15759,15625
GT1,22,196,16136,15940
GT1,23,120,16549,16429
GT1,24,121,15796,15675
GT1,25,122,16249,16127
GT1,26,121,16599,16478
GT1,27,121,15834,15713
GT1,28,121,16340,16219
GT1,29,132,15694,15562
GT1,30,126,15956,15830
GT1,31,121,16420,16299
GT1,32,121,15768,15647
GT1,33,196,16167,15971
GT1,34,119,16522,16403
GT1,35,127,15830,15703
GT1,36,121,16245,16124
GT1,37,121,16602,16481
GT1,38,121,15834,15713
GT1,39,123,16361,16238
GT1,40,132,15739,15607
GT1,41,199,16054,15855
GT1,42,121,16423,16302
GT1,43,134,15768,15634
GT1,44,195,16180,15985
GT1,45,120,16544,16424
GT1,46,122,15831,15709
GT1,47,157,16279,16122
GT1,48,121,16622,16501
GT1,49,121,15834,15713
GT1,50,121,16357,16236
GT1,51,132,15725,15593
GT1,52,201,16134,15933
GT1,53,125,16462,16337
GT1,54,121,15793,15672
GT1,55,121,16201,16080
GT1,56,121,16540,16419
GT1,57,121,15830,15709
GT1,58,121,16336,16215
GT1,59,121,16648,16527
GT1,60,121,15834,15713
GT1,61,121,16381,16260
GT1,62,131,15776,15645
GT1,63,195,16122,15927
GT1,64,120,16485,16365
GT1,65,121,15810,15689
GT1,66,121,16214,16093
GT1,67,121,16560,16439
GT1,68,121,15834,15713
GT1,69,121,16301,16180
GT1,70,121,16663,16542
GT1,71,121,15835,15714
GT1,72,123,16375,16252
GT1,73,131,15774,15643
GT1,74,235,16136,15901
