I (48037) extender_vdp: GT1,id,submitted_us,completed_us,drain_us
I (48039) extender_vdp: GT1,0,100,4329,4229
I (48039) extender_vdp: GT1,1,97,1882,1785
I (48040) extender_vdp: GT1,2,113,2237,2124
I (48040) extender_vdp: GT1,3,97,1578,1481
I (48041) extender_vdp: GT1,4,96,1921,1825
I (48041) extender_vdp: GT1,5,96,2274,2178
I (48042) extender_vdp: GT1,6,112,1632,1520
I (48042) extender_vdp: GT1,7,70,1944,1874
I (48043) extender_vdp: GT1,8,97,2321,2224
I (48044) extender_vdp: GT1,9,112,1676,1564
I (48044) extender_vdp: GT1,10,88,2001,1913
I (48045) extender_vdp: GT1,11,97,2370,2273
I (48045) extender_vdp: GT1,12,98,1716,1618
I (48046) extender_vdp: GT1,13,123,2067,1944
I (48046) extender_vdp: GT1,14,98,2416,2318
I (48047) extender_vdp: GT1,15,97,1760,1663
I (48047) extender_vdp: GT1,16,139,2114,1975
I (48047) extender_vdp: GT1,17,96,2456,2360
I (48048) extender_vdp: GT1,18,113,1816,1703
I (48048) extender_vdp: GT1,19,112,2160,2048
I (48049) extender_vdp: GT1,20,113,2511,2398
I (48049) extender_vdp: GT1,21,99,1856,1757
I (48050) extender_vdp: GT1,22,110,2207,2097
I (48050) extender_vdp: GT1,23,109,2557,2448
I (48051) extender_vdp: GT1,24,111,1904,1793
I (48051) extender_vdp: GT1,25,111,2256,2145
I (48052) extender_vdp: GT1,26,111,2598,2487
I (48052) extender_vdp: GT1,27,85,1923,1838
I (48053) extender_vdp: GT1,28,110,2303,2193
I (48053) extender_vdp: GT1,29,111,2650,2539
I (48054) extender_vdp: GT1,30,70,1950,1880
I (48054) extender_vdp: GT1,31,110,2344,2234
I (48055) extender_vdp: GT1,32,95,2687,2592
I (48055) extender_vdp: GT1,33,112,2039,1927
I (48056) extender_vdp: GT1,34,109,2385,2276
I (48056) extender_vdp: GT1,35,94,2730,2636
I (48057) extender_vdp: GT1,36,148,2087,1939
I (48057) extender_vdp: GT1,37,95,2427,2332
I (48058) extender_vdp: GT1,38,95,2775,2680
I (48058) extender_vdp: GT1,39,135,2138,2003
I (48059) extender_vdp: GT1,40,113,2479,2366
I (48059) extender_vdp: GT1,41,96,2825,2729
I (48060) extender_vdp: GT1,42,111,2182,2071
I (48060) extender_vdp: GT1,43,94,2521,2427
I (48061) extender_vdp: GT1,44,94,2865,2771
I (48061) extender_vdp: GT1,45,110,2231,2121
I (48062) extender_vdp: GT1,46,111,2571,2460
I (48062) extender_vdp: GT1,47,111,2919,2808
I (48063) extender_vdp: GT1,48,111,2281,2170
I (48063) extender_vdp: GT1,49,111,2616,2505
I (48064) extender_vdp: GT1,50,70,2934,2864
I (48064) extender_vdp: GT1,51,94,2321,2227
I (48065) extender_vdp: GT1,52,110,2663,2553
I (48065) extender_vdp: GT1,53,73,3161,3088
I (48066) extender_vdp: GT1,54,94,2373,2279
I (48066) extender_vdp: GT1,55,98,2704,2606
I (48067) extender_vdp: GT1,56,111,3044,2933
I (48067) extender_vdp: GT1,57,95,2425,2330
I (48068) extender_vdp: GT1,58,114,2752,2638
I (48068) extender_vdp: GT1,59,121,3094,2973
I (48068) extender_vdp: GT1,60,113,2480,2367
I (48069) extender_vdp: GT1,61,111,2796,2685
I (48069) extender_vdp: GT1,62,111,3151,3040
I (48070) extender_vdp: GT1,63,111,2532,2421
I (48070) extender_vdp: GT1,64,95,2833,2738
I (48071) extender_vdp: GT1,65,95,3185,3090
I (48071) extender_vdp: GT1,66,111,2580,2469
I (48072) extender_vdp: GT1,67,95,2885,2790
I (48072) extender_vdp: GT1,68,95,3233,3138
I (48073) extender_vdp: GT1,69,111,2633,2522
I (48073) extender_vdp: GT1,70,111,2934,2823
I (48074) extender_vdp: GT1,71,112,3282,3170
I (48074) extender_vdp: GT1,72,111,2677,2566
I (48075) extender_vdp: GT1,73,88,2958,2870
I (48075) extender_vdp: GT1,74,109,3334,3225
I (48076) extender_vdp: GT1,75,96,2725,2629
I (48076) extender_vdp: GT1,76,70,2993,2923
I (48076) extender_vdp: GT1,77,111,3373,3262
I (48077) extender_vdp: GT1,78,95,2772,2677
I (48077) extender_vdp: GT1,79,122,3069,2947
I (48078) extender_vdp: GT1,80,111,3422,3311
I (48078) extender_vdp: GT1,81,111,2828,2717
I (48079) extender_vdp: GT1,82,121,3108,2987
I (48079) extender_vdp: GT1,83,110,3471,3361
I (48080) extender_vdp: GT1,84,95,2852,2757
I (48080) extender_vdp: GT1,85,112,3165,3053
I (48081) extender_vdp: GT1,86,111,3511,3400
I (48081) extender_vdp: GT1,87,109,2910,2801
I (48082) extender_vdp: GT1,88,111,3210,3099
I (48082) extender_vdp: GT1,89,110,3560,3450
I (48083) extender_vdp: GT1,90,94,2946,2852
I (48083) extender_vdp: GT1,91,111,3254,3143
I (48084) extender_vdp: GT1,92,95,3593,3498
I (48084) extender_vdp: GT1,93,86,2981,2895
I (48085) extender_vdp: GT1,94,111,3302,3191
I (48085) extender_vdp: GT1,95,94,3638,3544
I (48086) extender_vdp: GT1,96,88,3035,2947
I (48086) extender_vdp: GT1,97,95,3335,3240
I (48087) extender_vdp: GT1,98,95,3686,3591
I (48087) extender_vdp: GT1,99,112,3101,2989
I (48088) extender_vdp: GT1,100,96,3387,3291
I (48088) extender_vdp: GT1,101,111,3741,3630
I (48089) extender_vdp: GT1,102,137,4090,3953
I (48089) extender_vdp: GT1,103,112,3436,3324
I (48090) extender_vdp: GT1,104,111,3786,3675
I (48090) extender_vdp: GT1,105,95,4127,4032
I (48091) extender_vdp: GT1,106,97,3475,3378
I (48091) extender_vdp: GT1,107,96,3827,3731
I (48092) extender_vdp: GT1,108,96,4175,4079
I (48092) extender_vdp: GT1,109,112,3532,3420
I (48093) extender_vdp: GT1,110,110,3876,3766
I (48093) extender_vdp: GT1,111,111,4227,4116
I (48094) extender_vdp: GT1,112,113,3573,3460
I (48094) extender_vdp: GT1,113,94,3911,3817
I (48095) extender_vdp: GT1,114,95,4259,4164
I (48095) extender_vdp: GT1,115,111,3616,3505
I (48096) extender_vdp: GT1,116,70,3936,3866
I (48096) extender_vdp: GT1,117,111,4317,4206
I (48097) extender_vdp: GT1,118,110,3647,3537
I (48097) extender_vdp: GT1,119,88,3985,3897
I (486784) extender_vdp: GT1,id,submitted_us,completed_us,drain_us
I (486785) extender_vdp: GT1,0,407,3340,2933
I (486785) extender_vdp: GT1,1,350,1620,1270
I (486786) extender_vdp: GT1,2,327,1969,1642
I (486786) extender_vdp: GT1,3,322,4771,4449
I (486786) extender_vdp: GT1,4,352,1717,1365
I (486787) extender_vdp: GT1,5,365,2092,1727
I (486787) extender_vdp: GT1,6,368,1595,1227
I (486787) extender_vdp: GT1,7,368,1823,1455
I (486788) extender_vdp: GT1,8,375,2188,1813
I (486788) extender_vdp: GT1,9,346,1691,1345
I (486788) extender_vdp: GT1,10,359,1920,1561
I (486789) extender_vdp: GT1,11,391,2284,1893
I (486789) extender_vdp: GT1,12,366,1798,1432
I (486789) extender_vdp: GT1,13,339,1990,1651
I (486790) extender_vdp: GT1,14,385,2380,1995
I (486790) extender_vdp: GT1,15,366,1880,1514
I (486790) extender_vdp: GT1,16,373,2108,1735
I (486791) extender_vdp: GT1,17,353,2467,2114
I (486791) extender_vdp: GT1,18,347,1970,1623
I (486791) extender_vdp: GT1,19,395,2202,1807
I (486792) extender_vdp: GT1,20,348,2558,2210
I (486792) extender_vdp: GT1,21,350,2060,1710
I (486792) extender_vdp: GT1,22,385,2302,1917
I (486793) extender_vdp: GT1,23,366,2661,2295
I (486793) extender_vdp: GT1,24,325,2130,1805
I (486794) extender_vdp: GT1,25,346,2388,2042
I (486794) extender_vdp: GT1,26,347,2753,2406
I (486794) extender_vdp: GT1,27,386,2275,1889
I (486795) extender_vdp: GT1,28,349,2483,2134
I (486795) extender_vdp: GT1,29,348,2843,2495
I (486796) extender_vdp: GT1,30,388,2370,1982
I (486796) extender_vdp: GT1,31,360,2589,2229
I (486796) extender_vdp: GT1,32,334,2931,2597
I (486796) extender_vdp: GT1,33,380,3315,2935
I (486797) extender_vdp: GT1,34,356,2681,2325
I (486797) extender_vdp: GT1,35,342,3036,2694
I (486797) extender_vdp: GT1,36,360,3405,3045
I (486798) extender_vdp: GT1,37,361,2773,2412
I (486798) extender_vdp: GT1,38,370,3129,2759
I (486798) extender_vdp: GT1,39,353,3508,3155
I (486799) extender_vdp: GT1,40,353,2869,2516
I (486799) extender_vdp: GT1,41,388,3229,2841
I (486799) extender_vdp: GT1,42,361,3595,3234
I (486800) extender_vdp: GT1,43,331,2942,2611
I (486800) extender_vdp: GT1,44,367,3322,2955
I (486801) extender_vdp: GT1,45,372,3701,3329
I (486801) extender_vdp: GT1,46,346,3049,2703
I (486801) extender_vdp: GT1,47,358,3419,3061
I (486802) extender_vdp: GT1,48,363,3789,3426
I (486802) extender_vdp: GT1,49,367,3149,2782
I (486802) extender_vdp: GT1,50,355,3524,3169
I (486803) extender_vdp: GT1,51,352,3887,3535
I (486803) extender_vdp: GT1,52,380,3251,2871
