sample,prt_counts
0,19217
1,19211
2,19211
3,19210
4,19211
5,19210
6,19211
7,19210
8,19211
9,19210
10,19211
11,19211
12,19210
13,19211
14,19210
15,19211
16,19210
17,19211
18,19210
19,19211
20,19211
21,19210
22,19211
23,19210
24,19211
25,19210
26,19211
27,19210
28,19211
29,19210
30,19211
31,19211
32,19210
33,19211
34,19210
35,19211
36,19210
37,19211
38,19210
39,19211
40,19211
41,19210
42,19211
43,19210
44,19211
45,19210
46,19211
47,19210
48,19211
49,19211
50,19210
51,19211
52,19210
53,19211
54,19210
55,19211
56,19210
57,19211
58,19210
59,19211
60,19211
61,19210
62,19211
63,19210
64,19211
65,19210
66,19211
67,19210
68,19211
69,19211
70,19210
71,19211
72,19210
73,19211
74,19210
75,19211
76,19210
77,19211
78,19211
79,19210
80,19211
81,19210
82,19211
83,19210
84,19211
85,19210
86,19211
87,19211
88,19210
89,19211
90,19210
91,19211
92,19210
93,19211
94,19210
95,19211
96,19210
97,19211
98,19211
99,19210
100,19211
101,19210
102,19211
103,19210
104,19211
105,19210
106,19211
107,19211
108,19210
109,19211
110,19210
111,19211
112,19210
113,19211
114,19210
115,19211
116,19211
117,19210
118,19211
119,19210
120,2
121,11379
122,34124
123,65535
