sample,prt_counts
0,4795
1,4793
2,4793
3,4793
4,4793
5,4793
6,4793
7,4793
8,4793
9,4793
10,4793
11,4793
12,4793
13,4793
14,4793
15,4793
16,4793
17,4793
18,4793
19,4793
20,4793
21,4793
22,4793
23,4793
24,4793
25,4793
26,4793
27,4793
28,4793
29,4793
30,4793
31,4793
32,4793
33,4793
34,4793
35,4793
36,4793
37,4793
38,4793
39,4793
40,4793
41,4793
42,4793
43,4793
44,4793
45,4793
46,4793
47,4793
48,4793
49,4793
50,4793
51,4793
52,4793
53,4793
54,4793
55,4793
56,4793
57,4793
58,4793
59,4793
60,4793
61,4793
62,4793
63,4793
64,4793
65,4793
66,4793
67,4793
68,4793
69,4793
70,4793
71,4793
72,4793
73,4793
74,4793
75,4793
76,4793
77,4793
78,4793
79,4793
80,4793
81,4793
82,4793
83,4793
84,4793
85,4793
86,4793
87,4793
88,4793
89,4793
90,4793
91,4793
92,4793
93,4793
94,4793
95,4793
96,4793
97,4793
98,4793
99,4793
100,4793
101,4793
102,4793
103,4793
104,4793
105,4793
106,4793
107,4793
108,4793
109,4793
110,4793
111,4793
112,4793
113,4793
114,4793
115,4793
116,4793
117,4793
118,4793
119,4793
120,0
121,2844
122,8531
123,28433
