# uart-data-probe-r01-b2026-09-13-20-26-53Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,517,0,0,0,0
0,0,forward,0,1,0,0,674,1,1,0,0
0,0,forward,0,63,0,0,1161,63,63,0,0
0,0,forward,0,64,0,0,1149,64,64,0,0
0,0,forward,0,65,0,0,1233,65,65,0,0
0,0,forward,0,255,0,0,2799,255,255,0,0
0,0,forward,0,256,0,0,2825,256,256,0,0
0,0,forward,0,257,0,0,2817,257,257,0,0
0,0,forward,0,4095,6,0,37436,4095,4095,0,0
0,0,forward,0,4096,4,0,37393,4096,4096,0,0
0,0,forward,0,4097,6,0,37470,4097,4097,0,0
0,0,forward,0,32768,36,0,296046,32768,32768,0,0
0,0,forward,0,65535,70,2,591264,65535,65535,0,0
0,0,forward,1,0,0,0,438,0,0,0,0
0,0,forward,1,1,0,0,728,1,1,0,0
0,0,forward,1,63,0,2,1254,63,63,0,0
0,0,forward,1,64,0,0,1216,64,64,0,0
0,0,forward,1,65,0,0,1228,65,65,0,0
0,0,forward,1,255,0,0,2765,255,255,0,0
0,0,forward,1,256,0,0,2778,256,256,0,0
0,0,forward,1,257,0,0,2790,257,257,0,0
0,0,forward,1,4095,4,2,36931,4095,4095,0,0
0,0,forward,1,4096,4,0,36980,4096,4096,0,0
0,0,forward,1,4097,4,0,37007,4097,4097,0,0
0,0,forward,1,32768,34,0,292328,32768,32768,0,0
0,0,forward,1,65535,70,2,583877,65535,65535,0,0
0,0,forward,2,0,0,0,434,0,0,0,0
0,0,forward,2,1,0,2,729,1,1,0,0
0,0,forward,2,63,0,0,1223,63,63,0,0
0,0,forward,2,64,0,0,1161,64,64,0,0
0,0,forward,2,65,0,0,1166,65,65,0,0
0,0,forward,2,255,0,0,2783,255,255,0,0
0,0,forward,2,256,0,0,2806,256,256,0,0
0,0,forward,2,257,0,0,2818,257,257,0,0
