# uart-data-probe-r01-b2026-09-13-20-26-53Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,408,0,0,0,0
0,0,forward,0,1,0,0,797,1,1,0,0
0,0,forward,0,63,0,0,1155,63,63,0,0
0,0,forward,0,64,0,0,1232,64,64,0,0
0,0,forward,0,65,0,0,1217,65,65,0,0
0,0,forward,0,255,0,2,2802,255,255,0,0
0,0,forward,0,256,0,0,2805,256,256,0,0
0,0,forward,0,257,0,0,2806,257,257,0,0
0,0,forward,0,4095,4,0,37374,4095,4095,0,0
0,0,forward,0,4096,4,0,37381,4096,4096,0,0
0,0,forward,0,4097,4,0,37451,4097,4097,0,0
0,0,forward,0,32768,36,0,296038,32768,32768,0,0
0,0,forward,0,65535,70,2,590999,65535,65535,0,0
0,0,forward,1,0,0,0,424,0,0,0,0
0,0,forward,1,1,0,0,668,1,1,0,0
0,0,forward,1,63,0,0,1215,63,63,0,0
0,0,forward,1,64,0,0,1232,64,64,0,0
0,0,forward,1,65,2,0,1169,65,65,0,0
0,0,forward,1,255,0,0,2759,255,255,0,0
0,0,forward,1,256,0,0,2788,256,256,0,0
0,0,forward,1,257,0,0,2801,257,257,0,0
0,0,forward,1,4095,4,0,36965,4095,4095,0,0
0,0,forward,1,4096,4,0,36944,4096,4096,0,0
0,0,forward,1,4097,6,0,36984,4097,4097,0,0
0,0,forward,1,32768,36,0,292344,32768,32768,0,0
0,0,forward,1,65535,70,2,583801,65535,65535,0,0
0,0,forward,2,0,0,0,503,0,0,0,0
0,0,forward,2,1,0,0,685,1,1,0,0
0,0,forward,2,63,0,0,1151,63,63,0,0
0,0,forward,2,64,0,0,1227,64,64,0,0
0,0,forward,2,65,0,0,1167,65,65,0,0
0,0,forward,2,255,0,0,2798,255,255,0,0
0,0,forward,2,256,0,0,2826,256,256,0,0
0,0,forward,2,257,0,0,2826,257,257,0,0
0,0,forward,2,4095,4,0,37318,4095,4095,0,0
0,0,forward,2,4096,6,0,37323,4096,4096,0,0
0,0,forward,2,4097,4,0,37351,4097,4097,0,0
0,0,forward,2,32768,34,2,295042,32768,32768,0,0
0,0,forward,2,65535,70,2,589135,65535,65535,0,0
0,0,forward,3,0,0,0,464,0,0,0,0
0,0,forward,3,1,0,0,761,1,1,0,0
0,0,forward,3,63,0,0,1253,63,63,0,0
0,0,forward,3,64,0,0,1164,64,64,0,0
0,0,forward,3,65,0,0,1209,65,65,0,0
0,0,forward,3,255,0,0,2845,255,255,0,0
0,0,forward,3,256,0,0,2802,256,256,0,0
0,0,forward,3,257,0,0,2834,257,257,0,0
0,0,forward,3,4095,4,0,37299,4095,4095,0,0
0,0,forward,3,4096,4,0,37346,4096,4096,0,0
0,0,forward,3,4097,4,0,37369,4097,4097,0,0
0,0,forward,3,32768,36,0,295372,32768,32768,0,0
0,0,forward,3,65535,70,2,589664,65535,65535,0,0
1,0,forward,0,0,0,0,420,0,0,0,0
1,0,forward,0,1,0,0,688,1,1,0,0
1,0,forward,0,63,0,0,1253,63,63,0,0
1,0,forward,0,64,0,0,1265,64,64,0,0
1,0,forward,0,65,0,0,1264,65,65,0,0
1,0,forward,0,255,0,0,2812,255,255,0,0
1,0,forward,0,256,0,0,2790,256,256,0,0
1,0,forward,0,257,0,0,2746,257,257,0,0
