# uart-data-probe-r01-b2026-09-13-20-54-53Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86305,257,257,0,0
0,0,duplex-reverse,3,256,0,10,84980,2048,2048,0,0
0,0,duplex-forward,3,4096,16,10,120975,4096,4096,0,0
0,0,duplex-reverse,3,256,16,10,85031,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672455,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,84942,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86849,257,257,0,0
1,0,duplex-reverse,3,256,0,10,85047,2048,2048,0,0
1,0,duplex-forward,3,4096,16,12,120928,4096,4096,0,0
1,0,duplex-reverse,3,256,16,12,85065,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672854,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85159,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86866,257,257,0,0
2,0,duplex-reverse,3,256,0,10,85060,2048,2048,0,0
2,0,duplex-forward,3,4096,16,12,120853,4096,4096,0,0
2,0,duplex-reverse,3,256,16,12,85064,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672961,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85159,2048,2048,0,0
0,1,duplex-forward,3,257,14,14,115999,257,257,0,0
0,1,duplex-reverse,3,256,14,14,603,2048,2048,0,0
0,1,duplex-forward,3,4096,28,14,239025,4096,4096,0,0
0,1,duplex-reverse,3,256,28,14,592,2048,2048,0,0
0,1,duplex-forward,3,65535,266,14,2207192,65535,65535,0,0
0,1,duplex-reverse,3,256,266,14,590,2048,2048,0,0
1,1,duplex-forward,3,257,14,14,115908,257,257,0,0
1,1,duplex-reverse,3,256,14,14,582,2048,2048,0,0
1,1,duplex-forward,3,4096,28,12,239038,4096,4096,0,0
1,1,duplex-reverse,3,256,28,12,585,2048,2048,0,0
1,1,duplex-forward,3,65535,264,14,2207040,65535,65535,0,0
1,1,duplex-reverse,3,256,264,14,584,2048,2048,0,0
2,1,duplex-forward,3,257,14,14,116038,257,257,0,0
2,1,duplex-reverse,3,256,14,14,591,2048,2048,0,0
2,1,duplex-forward,3,4096,28,12,238954,4096,4096,0,0
2,1,duplex-reverse,3,256,28,12,586,2048,2048,0,0
2,1,duplex-forward,3,65535,264,14,2207098,65535,65535,0,0
2,1,duplex-reverse,3,256,264,14,645,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
