# uart-data-probe-r01-b2026-09-13-20-26-53Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,431,0,0,0,0
0,0,forward,0,1,0,0,798,1,1,0,0
0,0,forward,0,63,0,0,1157,63,63,0,0
0,0,forward,0,64,0,0,1153,64,64,0,0
0,0,forward,0,65,0,0,1219,65,65,0,0
0,0,forward,0,255,0,0,2796,255,255,0,0
0,0,forward,0,256,0,0,2812,256,256,0,0
0,0,forward,0,257,0,0,2814,257,257,0,0
0,0,forward,0,4095,4,0,37432,4095,4095,0,0
0,0,forward,0,4096,4,0,37423,4096,4096,0,0
0,0,forward,0,4097,4,2,37474,4097,4097,0,0
0,0,forward,0,32768,36,0,296007,32768,32768,0,0
0,0,forward,0,65535,70,2,591104,65535,65535,0,0
0,0,forward,1,0,0,0,442,0,0,0,0
0,0,forward,1,1,0,0,706,1,1,0,0
0,0,forward,1,63,0,0,1158,63,63,0,0
0,0,forward,1,64,0,2,1145,64,64,0,0
0,0,forward,1,65,0,0,1169,65,65,0,0
0,0,forward,1,255,2,0,2773,255,255,0,0
0,0,forward,1,256,0,0,2776,256,256,0,0
0,0,forward,1,257,0,0,2781,257,257,0,0
0,0,forward,1,4095,4,0,36964,4095,4095,0,0
0,0,forward,1,4096,4,0,36958,4096,4096,0,0
0,0,forward,1,4097,4,0,36956,4097,4097,0,0
0,0,forward,1,32768,34,2,292203,32768,32768,0,0
0,0,forward,1,65535,70,2,583633,65535,65535,0,0
0,0,forward,2,0,0,0,442,0,0,0,0
0,0,forward,2,1,0,0,682,1,1,0,0
0,0,forward,2,63,0,0,1162,63,63,0,0
0,0,forward,2,64,0,0,1136,64,64,0,0
0,0,forward,2,65,0,0,1175,65,65,0,0
0,0,forward,2,255,0,0,2790,255,255,0,0
0,0,forward,2,256,0,0,2803,256,256,0,0
0,0,forward,2,257,0,0,2810,257,257,0,0
0,0,forward,2,4095,4,0,37296,4095,4095,0,0
0,0,forward,2,4096,4,0,37323,4096,4096,0,0
0,0,forward,2,4097,4,0,37343,4097,4097,0,0
0,0,forward,2,32768,34,2,295004,32768,32768,0,0
0,0,forward,2,65535,70,2,589114,65535,65535,0,0
0,0,forward,3,0,0,0,434,0,0,0,0
0,0,forward,3,1,0,0,743,1,1,0,0
0,0,forward,3,63,0,0,1233,63,63,0,0
0,0,forward,3,64,0,0,1157,64,64,0,0
0,0,forward,3,65,0,0,1242,65,65,0,0
0,0,forward,3,255,0,0,2775,255,255,0,0
0,0,forward,3,256,0,0,2825,256,256,0,0
0,0,forward,3,257,0,0,2810,257,257,0,0
0,0,forward,3,4095,4,0,37354,4095,4095,0,0
0,0,forward,3,4096,4,0,37288,4096,4096,0,0
0,0,forward,3,4097,4,0,37305,4097,4097,0,0
0,0,forward,3,32768,34,2,295076,32768,32768,0,0
0,0,forward,3,65535,72,0,589764,65535,65535,0,0
1,0,forward,0,0,0,0,434,0,0,0,0
1,0,forward,0,1,0,0,705,1,1,0,0
1,0,forward,0,63,0,0,1155,63,63,0,0
1,0,forward,0,64,0,0,1154,64,64,0,0
1,0,forward,0,65,0,0,1164,65,65,0,0
1,0,forward,0,255,0,0,2810,255,255,0,0
1,0,forward,0,256,0,2,2850,256,256,0,0
1,0,forward,0,257,0,0,2824,257,257,0,0
1,0,forward,0,4095,4,0,37421,4095,4095,0,0
1,0,forward,0,4096,6,0,37439,4096,4096,0,0
1,0,forward,0,4097,6,0,37466,4097,4097,0,0
1,0,forward,0,32768,36,0,296030,32768,32768,0,0
1,0,forward,0,65535,72,0,591012,65535,65535,0,0
1,0,forward,1,0,0,0,433,0,0,0,0
1,0,forward,1,1,0,0,741,1,1,0,0
1,0,forward,1,63,0,0,1164,63,63,0,0
1,0,forward,1,64,0,0,1138,64,64,0,0
1,0,forward,1,65,0,0,1259,65,65,0,0
1,0,forward,1,255,0,0,2776,255,255,0,0
1,0,forward,1,256,0,0,2788,256,256,0,0
1,0,forward,1,257,0,0,2781,257,257,0,0
1,0,forward,1,4095,6,0,36947,4095,4095,0,0
1,0,forward,1,4096,4,0,36966,4096,4096,0,0
1,0,forward,1,4097,4,0,36960,4097,4097,0,0
1,0,forward,1,32768,36,0,292316,32768,32768,0,0
1,0,forward,1,65535,70,2,583744,65535,65535,0,0
1,0,forward,2,0,0,0,521,0,0,0,0
1,0,forward,2,1,0,0,698,1,1,0,0
1,0,forward,2,63,0,0,1165,63,63,0,0
1,0,forward,2,64,0,0,1227,64,64,0,0
1,0,forward,2,65,0,0,1174,65,65,0,0
1,0,forward,2,255,2,0,2818,255,255,0,0
1,0,forward,2,256,0,0,2800,256,256,0,0
1,0,forward,2,257,0,0,2840,257,257,0,0
1,0,forward,2,4095,4,0,37279,4095,4095,0,0
1,0,forward,2,4096,4,0,37289,4096,4096,0,0
1,0,forward,2,4097,4,0,37309,4097,4097,0,0
1,0,forward,2,32768,34,2,295032,32768,32768,0,0
1,0,forward,2,65535,70,2,589206,65535,65535,0,0
1,0,forward,3,0,0,0,482,0,0,0,0
1,0,forward,3,1,0,0,710,1,1,0,0
1,0,forward,3,63,0,0,1250,63,63,0,0
1,0,forward,3,64,0,0,1154,64,64,0,0
1,0,forward,3,65,0,0,1159,65,65,0,0
1,0,forward,3,255,0,0,2781,255,255,0,0
1,0,forward,3,256,2,0,2803,256,256,0,0
1,0,forward,3,257,0,0,2801,257,257,0,0
1,0,forward,3,4095,4,0,37263,4095,4095,0,0
1,0,forward,3,4096,4,0,37306,4096,4096,0,0
1,0,forward,3,4097,4,0,37345,4097,4097,0,0
1,0,forward,3,32768,34,2,295112,32768,32768,0,0
1,0,forward,3,65535,72,0,589734,65535,65535,0,0
2,0,forward,0,0,0,0,523,0,0,0,0
2,0,forward,0,1,0,0,759,1,1,0,0
2,0,forward,0,63,0,0,1165,63,63,0,0
2,0,forward,0,64,0,0,1153,64,64,0,0
2,0,forward,0,65,0,0,1229,65,65,0,0
2,0,forward,0,255,0,0,2794,255,255,0,0
2,0,forward,0,256,0,0,2819,256,256,0,0
2,0,forward,0,257,0,0,2811,257,257,0,0
2,0,forward,0,4095,4,0,37411,4095,4095,0,0
2,0,forward,0,4096,4,0,37449,4096,4096,0,0
2,0,forward,0,4097,6,0,37481,4097,4097,0,0
2,0,forward,0,32768,36,0,296048,32768,32768,0,0
2,0,forward,0,65535,72,0,591250,65535,65535,0,0
2,0,forward,1,0,0,0,500,0,0,0,0
2,0,forward,1,1,0,0,679,1,1,0,0
2,0,forward,1,63,0,0,1195,63,63,0,0
2,0,forward,1,64,0,0,1162,64,64,0,0
