# uart-data-probe-r01-b2026-09-13-20-26-53Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,414,0,0,0,0
0,0,forward,0,1,0,0,743,1,1,0,0
0,0,forward,0,63,0,0,1160,63,63,0,0
0,0,forward,0,64,0,0,1165,64,64,0,0
0,0,forward,0,65,0,0,1221,65,65,0,0
0,0,forward,0,255,0,0,2800,255,255,0,0
0,0,forward,0,256,0,0,2801,256,256,0,0
0,0,forward,0,257,0,0,2832,257,257,0,0
0,0,forward,0,4095,4,0,37388,4095,4095,0,0
0,0,forward,0,4096,4,0,37374,4096,4096,0,0
0,0,forward,0,4097,4,0,37440,4097,4097,0,0
0,0,forward,0,32768,34,2,295937,32768,32768,0,0
0,0,forward,0,65535,72,0,591185,65535,65535,0,0
0,0,forward,1,0,0,0,443,0,0,0,0
0,0,forward,1,1,0,0,670,1,1,0,0
0,0,forward,1,63,0,0,1199,63,63,0,0
0,0,forward,1,64,0,0,1143,64,64,0,0
0,0,forward,1,65,0,0,1177,65,65,0,0
0,0,forward,1,255,0,0,2701,255,255,0,0
0,0,forward,1,256,0,0,2807,256,256,0,0
0,0,forward,1,257,0,0,2817,257,257,0,0
0,0,forward,1,4095,4,0,36948,4095,4095,0,0
0,0,forward,1,4096,4,0,36986,4096,4096,0,0
0,0,forward,1,4097,4,2,36939,4097,4097,0,0
0,0,forward,1,32768,36,0,292246,32768,32768,0,0
0,0,forward,1,65535,70,2,583909,65535,65535,0,0
0,0,forward,2,0,0,0,443,0,0,0,0
0,0,forward,2,1,0,0,684,1,1,0,0
0,0,forward,2,63,0,0,1158,63,63,0,0
0,0,forward,2,64,0,2,1241,64,64,0,0
0,0,forward,2,65,0,0,1158,65,65,0,0
0,0,forward,2,255,0,0,2792,255,255,0,0
0,0,forward,2,256,0,0,2793,256,256,0,0
0,0,forward,2,257,0,0,2826,257,257,0,0
0,0,forward,2,4095,4,0,37369,4095,4095,0,0
0,0,forward,2,4096,4,2,37294,4096,4096,0,0
0,0,forward,2,4097,4,0,37301,4097,4097,0,0
0,0,forward,2,32768,34,2,295003,32768,32768,0,0
0,0,forward,2,65535,70,2,589204,65535,65535,0,0
0,0,forward,3,0,0,0,484,0,0,0,0
0,0,forward,3,1,0,0,749,1,1,0,0
0,0,forward,3,63,0,2,1218,63,63,0,0
0,0,forward,3,64,0,0,1224,64,64,0,0
0,0,forward,3,65,0,0,1145,65,65,0,0
0,0,forward,3,255,2,0,2815,255,255,0,0
0,0,forward,3,256,0,0,2789,256,256,0,0
0,0,forward,3,257,0,0,2812,257,257,0,0
0,0,forward,3,4095,4,0,37310,4095,4095,0,0
0,0,forward,3,4096,4,0,37332,4096,4096,0,0
0,0,forward,3,4097,4,0,37339,4097,4097,0,0
0,0,forward,3,32768,36,0,295275,32768,32768,0,0
0,0,forward,3,65535,70,2,589695,65535,65535,0,0
1,0,forward,0,0,0,0,522,0,0,0,0
1,0,forward,0,1,0,0,720,1,1,0,0
1,0,forward,0,63,0,0,1197,63,63,0,0
1,0,forward,0,64,0,0,1243,64,64,0,0
1,0,forward,0,65,0,0,1159,65,65,0,0
1,0,forward,0,255,0,0,2787,255,255,0,0
1,0,forward,0,256,0,0,2814,256,256,0,0
1,0,forward,0,257,0,0,2833,257,257,0,0
