# uart-data-probe-r01-b2026-09-13-20-26-53Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,437,0,0,0,0
0,0,forward,0,1,0,0,794,1,1,0,0
0,0,forward,0,63,0,0,1157,63,63,0,0
0,0,forward,0,64,0,0,1142,64,64,0,0
0,0,forward,0,65,0,0,1255,65,65,0,0
0,0,forward,0,255,2,0,2824,255,255,0,0
0,0,forward,0,256,0,0,2806,256,256,0,0
0,0,forward,0,257,0,0,2821,257,257,0,0
0,0,forward,0,4095,4,0,37386,4095,4095,0,0
0,0,forward,0,4096,4,0,37416,4096,4096,0,0
0,0,forward,0,4097,4,0,37437,4097,4097,0,0
0,0,forward,0,32768,36,0,296007,32768,32768,0,0
0,0,forward,0,65535,70,2,591192,65535,65535,0,0
0,0,forward,1,0,0,0,439,0,0,0,0
0,0,forward,1,1,0,0,735,1,1,0,0
0,0,forward,1,63,0,0,1190,63,63,0,0
0,0,forward,1,64,0,0,1156,64,64,0,0
0,0,forward,1,65,0,2,1140,65,65,0,0
0,0,forward,1,255,0,0,2772,255,255,0,0
0,0,forward,1,256,0,0,2776,256,256,0,0
0,0,forward,1,257,0,0,2809,257,257,0,0
0,0,forward,1,4095,6,0,36959,4095,4095,0,0
0,0,forward,1,4096,4,0,36968,4096,4096,0,0
0,0,forward,1,4097,4,2,36967,4097,4097,0,0
0,0,forward,1,32768,36,0,292339,32768,32768,0,0
0,0,forward,1,65535,70,2,583921,65535,65535,0,0
0,0,forward,2,0,0,0,501,0,0,0,0
0,0,forward,2,1,0,0,739,1,1,0,0
0,0,forward,2,63,0,0,1161,63,63,0,0
0,0,forward,2,64,0,0,1178,64,64,0,0
0,0,forward,2,65,0,0,1156,65,65,0,0
0,0,forward,2,255,0,2,2807,255,255,0,0
0,0,forward,2,256,0,0,2799,256,256,0,0
0,0,forward,2,257,0,0,2804,257,257,0,0
0,0,forward,2,4095,4,2,37275,4095,4095,0,0
0,0,forward,2,4096,4,0,37301,4096,4096,0,0
0,0,forward,2,4097,4,0,37281,4097,4097,0,0
0,0,forward,2,32768,34,2,295037,32768,32768,0,0
0,0,forward,2,65535,70,2,589230,65535,65535,0,0
0,0,forward,3,0,0,0,442,0,0,0,0
0,0,forward,3,1,0,0,687,1,1,0,0
0,0,forward,3,63,0,0,1165,63,63,0,0
0,0,forward,3,64,0,0,1155,64,64,0,0
0,0,forward,3,65,0,0,1162,65,65,0,0
0,0,forward,3,255,0,0,2803,255,255,0,0
0,0,forward,3,256,0,0,2788,256,256,0,0
0,0,forward,3,257,2,0,2813,257,257,0,0
0,0,forward,3,4095,4,0,37290,4095,4095,0,0
0,0,forward,3,4096,4,0,37337,4096,4096,0,0
0,0,forward,3,4097,4,0,37251,4097,4097,0,0
0,0,forward,3,32768,36,0,295191,32768,32768,0,0
0,0,forward,3,65535,70,2,589685,65535,65535,0,0
1,0,forward,0,0,0,0,434,0,0,0,0
1,0,forward,0,1,0,0,670,1,1,0,0
1,0,forward,0,63,0,0,1242,63,63,0,0
1,0,forward,0,64,0,0,1164,64,64,0,0
1,0,forward,0,65,0,0,1268,65,65,0,0
1,0,forward,0,255,0,0,2827,255,255,0,0
1,0,forward,0,256,0,0,2807,256,256,0,0
1,0,forward,0,257,2,0,2826,257,257,0,0
1,0,forward,0,4095,4,0,37419,4095,4095,0,0
1,0,forward,0,4096,4,0,37465,4096,4096,0,0
1,0,forward,0,4097,4,0,37433,4097,4097,0,0
1,0,forward,0,32768,34,2,295994,32768,32768,0,0
1,0,forward,0,65535,70,2,591163,65535,65535,0,0
1,0,forward,1,0,0,0,424,0,0,0,0
1,0,forward,1,1,0,0,733,1,1,0,0
1,0,forward,1,63,0,0,1132,63,63,0,0
1,0,forward,1,64,0,0,1165,64,64,0,0
1,0,forward,1,65,0,0,1140,65,65,0,0
1,0,forward,1,255,0,0,2758,255,255,0,0
1,0,forward,1,256,2,0,2781,256,256,0,0
1,0,forward,1,257,0,0,2801,257,257,0,0
1,0,forward,1,4095,6,0,36951,4095,4095,0,0
1,0,forward,1,4096,4,0,36968,4096,4096,0,0
1,0,forward,1,4097,4,0,36989,4097,4097,0,0
