# graphics-timing-probe-r02-unattended-b2026-09-14-22-25-41Z (experimental reduced corpus)
# MOS ticks are raw; local us never subtracted across processors.
repeat,route,detail,case,phase,metric,value,count,send_ticks,reply_ticks,bytes,upload_bytes,status
# progress,tick=6598,rep=0,route=0,case=EMPTY,next=preload,saved=0/624
# progress,tick=6664,rep=0,route=0,case=EMPTY,next=setup,saved=0/624
# progress,tick=6684,rep=0,route=0,case=EMPTY,next=draw,saved=0/624
0,0,0,EMPTY,draw,1,16524,16228,0,2,0,0,0
0,0,0,EMPTY,draw,2,0,0,0,2,0,0,0
0,0,0,EMPTY,draw,3,0,0,0,2,0,0,0
0,0,0,EMPTY,draw,4,0,0,0,2,0,0,0
0,0,0,EMPTY,draw,5,0,0,0,2,0,0,0
0,0,0,EMPTY,draw,6,0,0,0,2,0,0,0
0,0,0,EMPTY,draw,7,0,0,0,2,0,0,0
0,0,0,EMPTY,draw,8,282,256,0,2,0,0,0
# progress,tick=6860,rep=0,route=0,case=EMPTY,next=output,saved=1/624
0,0,0,EMPTY,output,1,1000067,1,0,0,0,0,0
0,0,0,EMPTY,output,2,0,0,0,0,0,0,0
0,0,0,EMPTY,output,3,0,0,0,0,0,0,0
0,0,0,EMPTY,output,4,0,0,0,0,0,0,0
0,0,0,EMPTY,output,5,0,0,0,0,0,0,0
0,0,0,EMPTY,output,6,0,0,0,0,0,0,0
0,0,0,EMPTY,output,7,0,0,0,0,0,0,0
0,0,0,EMPTY,output,8,303,256,0,0,0,0,0
# progress,tick=7156,rep=0,route=0,case=EMPTY,next=probe,saved=2/624
# progress,tick=7174,rep=0,route=0,case=SHP20,next=preload,saved=2/624
# progress,tick=7240,rep=0,route=0,case=SHP20,next=setup,saved=2/624
# progress,tick=7260,rep=0,route=0,case=SHP20,next=draw,saved=2/624
0,0,0,SHP20,draw,1,32683,563,0,4,478,0,0
0,0,0,SHP20,draw,2,0,0,0,4,478,0,0
0,0,0,SHP20,draw,3,0,0,0,4,478,0,0
0,0,0,SHP20,draw,4,0,0,0,4,478,0,0
0,0,0,SHP20,draw,5,0,0,0,4,478,0,0
0,0,0,SHP20,draw,6,0,0,0,4,478,0,0
0,0,0,SHP20,draw,7,0,0,0,4,478,0,0
0,0,0,SHP20,draw,8,268,256,0,4,478,0,0
# progress,tick=7454,rep=0,route=0,case=SHP20,next=output,saved=3/624
0,0,0,SHP20,output,1,1000112,1,0,0,478,0,0
0,0,0,SHP20,output,2,0,0,0,0,478,0,0
0,0,0,SHP20,output,3,0,0,0,0,478,0,0
0,0,0,SHP20,output,4,0,0,0,0,478,0,0
0,0,0,SHP20,output,5,0,0,0,0,478,0,0
0,0,0,SHP20,output,6,0,0,0,0,478,0,0
0,0,0,SHP20,output,7,0,0,0,0,478,0,0
0,0,0,SHP20,output,8,268,256,0,0,478,0,0
# progress,tick=7756,rep=0,route=0,case=SHP20,next=probe,saved=4/624
# probe,rep=0,route=0,case=SHP20,index=0,expected=255/255/255,actual=255/255/255,match=1
# probe,rep=0,route=0,case=SHP20,index=1,expected=255/255/255,actual=255/255/255,match=1
# probe,rep=0,route=0,case=SHP20,index=2,expected=255/255/255,actual=255/255/255,match=1
# probe,rep=0,route=0,case=SHP20,index=3,expected=255/255/255,actual=255/255/255,match=1
# probe,rep=0,route=0,case=SHP20,index=4,expected=0/0/0,actual=0/0/0,match=1
# probe,rep=0,route=0,case=SHP20,index=5,expected=0/0/0,actual=0/0/0,match=1
# probe,rep=0,route=0,case=SHP20,index=6,expected=0/0/0,actual=0/0/0,match=1
