connection_id,net_id,endpoint_a,endpoint_b
W001,agon-3v3,C1.2,rail:agon-3v3
W002,agon-3v3,C2.2,rail:agon-3v3
W003,agon-3v3,C3.2,rail:agon-3v3
W004,agon-3v3,C5.2,rail:agon-3v3
W005,agon-3v3,J1.34,rail:agon-3v3
W006,agon-3v3,R24.1,rail:agon-3v3
W007,agon-3v3,R25.1,rail:agon-3v3
W008,agon-3v3,R26.1,rail:agon-3v3
W009,agon-3v3,R27.1,rail:agon-3v3
W010,agon-3v3,U1.20,rail:agon-3v3
W011,agon-3v3,U2.19,rail:agon-3v3
W012,agon-3v3,U2.20,rail:agon-3v3
W013,agon-3v3,U3.10,rail:agon-3v3
W014,agon-3v3,U3.13,rail:agon-3v3
W015,agon-3v3,U3.14,rail:agon-3v3
W016,agon-pc0-d0-uart-tx,J1.17,U1.2
W017,agon-pc1-d1-uart-rx,B001,J1.18
W018,agon-pc1-d1-uart-rx,B001,R11.2
W019,agon-pc1-d1-uart-rx,B001,U1.17
W020,agon-pc2-d2-uart-rts,J1.19,U1.4
W021,agon-pc3-d3-uart-cts,B002,J1.20
W022,agon-pc3-d3-uart-cts,B002,R12.2
W023,agon-pc3-d3-uart-cts,B002,U1.15
W024,agon-pc4-d4,J1.21,U2.2
W025,agon-pc5-d5,J1.22,U2.4
W026,agon-pc6-d6,J1.23,U2.6
W027,agon-pc7-d7,J1.24,U2.8
W028,agon-pd4-ready-n,J1.13,R13.1
W029,agon-pd4-ready-n,J1.13,R24.2
W030,agon-pd5-clock,J1.14,U1.13
W031,agon-pd7-valid-n,J1.16,U1.11
W032,ground,C1.1,rail:ground
W033,ground,C2.1,rail:ground
W034,ground,C3.1,rail:ground
W035,ground,C4.1,rail:ground
W036,ground,C5.1,rail:ground
W037,ground,C6.2,rail:ground
W038,ground,J1.33,rail:ground
W039,ground,J2.2,rail:ground
W040,ground,J3.2,rail:ground
W041,ground,J3.15,rail:ground
W042,ground,J3.18,rail:ground
W043,ground,R18.2,rail:ground
W044,ground,R19.2,rail:ground
W045,ground,R20.2,rail:ground
W046,ground,R21.2,rail:ground
W047,ground,R22.2,rail:ground
W048,ground,U1.6,rail:ground
W049,ground,U1.8,rail:ground
W050,ground,U1.10,rail:ground
W051,ground,U2.10,rail:ground
W052,ground,U2.11,rail:ground
W053,ground,U2.13,rail:ground
W054,ground,U2.15,rail:ground
W055,ground,U2.17,rail:ground
W056,ground,U3.7,rail:ground
W057,ground,U3.9,rail:ground
W058,ground,U3.12,rail:ground
W059,ground,U4.2,rail:ground
W060,ground,U4.5,rail:ground
W061,ground,U4.7,rail:ground
W062,ground,U4.9,rail:ground
W063,ground,U4.12,rail:ground
W064,p4-3v3,C4.2,rail:p4-3v3
W065,p4-3v3,C6.1,rail:p4-3v3
W066,p4-3v3,J2.1,rail:p4-3v3
W067,p4-3v3,R14.1,rail:p4-3v3
W068,p4-3v3,R15.1,rail:p4-3v3
W069,p4-3v3,R16.1,rail:p4-3v3
W070,p4-3v3,R17.1,rail:p4-3v3
W071,p4-3v3,R23.1,rail:p4-3v3
W072,p4-3v3,R28.1,rail:p4-3v3
W073,p4-3v3,R29.1,rail:p4-3v3
W074,p4-3v3,R30.1,rail:p4-3v3
W075,p4-3v3,R31.1,rail:p4-3v3
W076,p4-3v3,U4.14,rail:p4-3v3
W077,p4-gpio10-d5,J2.11,R6.2
W078,p4-gpio10-d5,J2.11,R19.1
W079,p4-gpio10-d5-driver,R6.1,U2.16
W080,p4-gpio11-d3-uart-rts,B003,J2.12
W081,p4-gpio11-d3-uart-rts,B003,R4.2
W082,p4-gpio11-d3-uart-rts,B003,U3.5
W083,p4-gpio11-d3-uart-rts,J2.12,R17.2
W084,p4-gpio11-d3-uart-rts-driver,R4.1,U1.5
W085,p4-gpio12-d1-uart-tx,B004,J2.13
W086,p4-gpio12-d1-uart-tx,B004,R2.2
W087,p4-gpio12-d1-uart-tx,B004,U3.2
W088,p4-gpio12-d1-uart-tx,J2.13,R15.2
W089,p4-gpio12-d1-uart-tx-driver,R2.1,U1.3
W090,p4-gpio13-valid-n,J2.14,R10.2
W091,p4-gpio13-valid-n,J2.14,R23.2
W092,p4-gpio13-valid-n-driver,R10.1,U1.9
W093,p4-gpio14-clock,J2.15,R9.2
W094,p4-gpio14-clock,J2.15,R22.1
W095,p4-gpio14-clock-driver,R9.1,U1.7
W096,p4-gpio15-uart-forward-control-n,J2.16,R28.2
W097,p4-gpio15-uart-forward-control-n,J2.16,U4.1
W098,p4-gpio17-parallel-forward-control-n,J2.18,R29.2
W099,p4-gpio17-parallel-forward-control-n,J2.18,U4.4
